our codes,Type,10yr_fire,20yr_fire,elevation,Avg_Rain,SoilType,Basal_area,hlu/imf,UPCOVER,Forest,Savannah,Thicket,bm-TOT,Bro-ung,g-TOT,OCCUP-TOT
S22,Savannah,5,12,145,775,Basalt,NA,hlu,63,0,1,0,2,2,2,4
S13,Savannah,2,7,110,775,Ecca,NA,hlu,63,0,1,0,3,2,8,11
S11,Savannah,5,11,127,825,Ecca,NA,hlu,63,0,1,0,0,0,2,2
S10,Savannah,5,12,345,825,Basalt,NA,hlu,63,0,1,0,8,0,19,27
S9,Savannah,5,11,343,825,Ecca,NA,hlu,5,0,1,0,0,0,14,14
S8,Savannah,6,12,338,825,Ecca,NA,hlu,63,0,1,0,5,0,7,12
S7,Savannah,6,12,331,825,Ecca,NA,imf,5,0,1,0,2,0,25,27
S46,Savannah,3,10,244,725,Ecca,NA,imf,16,0,1,0,3,3,3,6
S5,Savannah,6,12,220,675,Ecca,NA,hlu,63,0,1,0,0,0,3,3
S4,Savannah,6,12,116,675,Ecca,NA,hlu,63,0,1,0,0,0,14,14
S2,Savannah,4,10,207,675,Ecca,NA,hlu,63,0,1,0,1,1,10,11
S1,Savannah,5,11,220,675,Ecca,NA,hlu,63,0,1,0,1,1,2,3
S24,Savannah,4,10,198,775,Basalt,NA,hlu,63,0,1,0,0,0,6,6
S25,Savannah,3,10,185,775,Basalt,NA,hlu,63,0,1,0,0,0,19,19
S21,Savannah,4,10,137,775,Ecca,NA,hlu,63,0,1,0,4,0,7,11
S20,Savannah,4,9,124,775,Alluvium,NA,hlu,63,0,1,0,2,1,1,3
S49,Savannah,1,6,312,725,Ecca,NA,imf,16,0,1,0,47,47,9,56
S50,Savannah,1,6,126,725,Basalt,NA,imf,33,0,1,0,3,2,52,55
S52,Savannah,0,4,120,725,Ecca,NA,imf,83,0,1,0,6,5,7,13
S53,Savannah,0,3,114,725,Ecca,NA,imf,83,0,1,0,56,56,24,80
S58,Savannah,1,5,132,725,Ecca,NA,imf,33,0,1,0,11,11,15,26
S27,Savannah,6,11,157,775,Basalt,NA,hlu,63,0,1,0,2,0,11,13
S55,Savannah,1,6,151,725,Basalt,NA,imf,33,0,1,0,11,11,9,20
S19,Savannah,5,10,141,775,Ecca,NA,hlu,63,0,1,0,4,1,3,7
S30,Savannah,7,12,151,775,Basalt,NA,hlu,63,0,1,0,0,0,1,1
