our codes,Type,10yr_fire,20yr_fire,elevation,Avg_Rain,SoilType,Basal_area,hlu/imf,UPCOVER,Forest,Savannah,Thicket,bm-TOT,Bro-ung,g-TOT,OCCUP-TOT,chew_perc,sap_min_perc,total_per
S1,Savannah,5,11,220,675,Ecca,NA,hlu,63,0,1,0,1,1,2,3,3.098,2.867,5.965
S4,Savannah,6,12,116,675,Ecca,NA,hlu,63,0,1,0,0,0,14,14,1.936,1.149,3.085
S5,Savannah,6,12,220,675,Ecca,NA,hlu,63,0,1,0,0,0,3,3,9.042,0.542,9.584
S7,Savannah,6,12,331,825,Ecca,NA,imf,5,0,1,0,2,0,25,27,0.554,0.758,1.312
S8,Savannah,6,12,338,825,Ecca,NA,hlu,63,0,1,0,5,0,7,12,3.706,2.939,6.645
S9,Savannah,5,11,343,825,Ecca,NA,hlu,5,0,1,0,0,0,14,14,3.023,0.336,3.359
S10,Savannah,5,12,345,825,Basalt,NA,hlu,63,0,1,0,8,0,19,27,4.543,5.216,9.76
S11,Savannah,5,11,127,825,Ecca,NA,hlu,63,0,1,0,0,0,2,2,6.322,7.432,13.754
S13,Savannah,2,7,110,775,Ecca,NA,hlu,63,0,1,0,3,2,8,11,1.418,1.513,2.931
S19,Savannah,5,10,141,775,Ecca,NA,hlu,63,0,1,0,4,1,3,7,4.408,4.912,9.32
S20,Savannah,4,9,124,775,Alluvium,NA,hlu,63,0,1,0,2,1,1,3,1.929,1.337,3.266
S21,Savannah,4,10,137,775,Ecca,NA,hlu,63,0,1,0,4,0,7,11,2.586,1.453,4.039
S22,Savannah,5,12,145,775,Basalt,NA,hlu,63,0,1,0,2,2,2,4,13.357,6.43,19.787
S24,Savannah,4,10,198,775,Basalt,NA,hlu,63,0,1,0,0,0,6,6,6.553,3.783,10.336
S25,Savannah,3,10,185,775,Basalt,NA,hlu,63,0,1,0,0,0,19,19,5.437,1.258,6.695
S27,Savannah,6,11,157,775,Basalt,NA,hlu,63,0,1,0,2,0,11,13,3.576,1.167,4.743
S30,Savannah,7,12,151,775,Basalt,NA,hlu,63,0,1,0,0,0,1,1,4.697,1.436,6.133
S46,Savannah,3,10,244,725,Ecca,NA,imf,16,0,1,0,3,3,3,6,2.351,1.107,3.459
S49,Savannah,1,6,312,725,Ecca,NA,imf,16,0,1,0,47,47,9,56,0.832,1.172,2.005
S50,Savannah,1,6,126,725,Basalt,NA,imf,33,0,1,0,3,2,52,55,4.18,0.535,4.715
S52,Savannah,0,4,120,725,Ecca,NA,imf,83,0,1,0,6,5,7,13,2.327,1.034,3.362
S53,Savannah,0,3,114,725,Ecca,NA,imf,83,0,1,0,56,56,24,80,0.668,0.957,1.625
S55,Savannah,1,6,151,725,Basalt,NA,imf,33,0,1,0,11,11,9,20,5.035,3.746,8.781
S58,Savannah,1,5,132,725,Ecca,NA,imf,33,0,1,0,11,11,15,26,2.285,2.351,4.636
