species,site,leaf_age,side,habitat,individual,mean_leaf_area,mean_total_herbivory,total_herbivory_standardized
ACA_BUR,S52,old,up,Savanna,1,0.3189,0.00345,1.081843838193791
ACA_BUR,S52,old,up,Savanna,2,0.4346363636363636,0.007227272727272727,1.6628320435055428
ACA_BUR,S52,old,up,Savanna,3,0.39004761904761903,0.005571428571428572,1.4283970211207424
ACA_BUR,T9,old,low,Thicket,1,0.29533333333333334,0.02306060606060606,7.808331623230043
ACA_BUR,T9,old,low,Thicket,2,0.27526190476190476,0.005404761904761905,1.9634979673038668
ACA_BUR,T9,old,low,Thicket,3,0.2685161290322581,0.013790322580645161,5.135752042287361
ACA_BUR,T9,old,up,Thicket,1,0.29384444444444446,6.444444444444444e-4,0.2193148302200711
ACA_BUR,T9,old,up,Thicket,2,0.3295,0.004210526315789474,1.2778532066128903
ACA_BUR,T9,old,up,Thicket,3,0.31529268292682927,0.004341463414634146,1.3769629457724142
ACA_CAF,S10,old,up,Savanna,1,0.04019047619047619,3.8095238095238096e-4,0.9478672985781991
ACA_CAF,S10,old,up,Savanna,2,0.01734848484848485,1.5151515151515151e-5,0.08733624454148471
ACA_CAF,S19,old,up,Savanna,1,0.020825,2.5e-5,0.12004801920768307
ACA_CAF,S19,old,up,Savanna,2,0.015484848484848485,0,0
ACA_CAF,S20,old,up,Savanna,1,0.09468750000000001,5e-4,0.528052805280528
ACA_CAF,S21,old,up,Savanna,1,0.09136363636363637,0.0020454545454545456,2.238805970149254
ACA_CAF,S21,old,up,Savanna,2,0.1897843137254902,0.0012941176470588234,0.6818886248579398
ACA_CAF,S21,old,up,Savanna,3,0.0376,0,0
ACA_CAF,S27,old,up,Savanna,1,0.10352941176470588,1.911764705882353e-4,0.1846590909090909
ACA_CAF,S27,old,up,Savanna,2,0.6766666666666666,0.05322222222222222,7.86535303776683
ACA_CAF,S49,old,up,Savanna,1,1.3704814814814814,0.003185185185185185,0.23241358808745238
ACA_CAF,S49,old,up,Savanna,2,1.0919076923076922,0.03103076923076923,2.8418857609828954
ACA_CAF,S7,old,up,Savanna,1,0.02441176470588235,5.882352941176471e-5,0.24096385542168677
ACA_CAF,S7,old,up,Savanna,2,0.02769565217391304,0.0015217391304347826,5.494505494505495
ACA_CAF,S8,old,up,Savanna,1,0.02062962962962963,3.7037037037037037e-5,0.17953321364452424
ACA_CAF,S8,old,up,Savanna,2,0.02209090909090909,9.090909090909092e-5,0.41152263374485604
ACA_CAF,S8,old,up,Savanna,3,0.03013333333333333,1.3333333333333334e-4,0.4424778761061947
ACA_GER,S49,old,up,Savanna,1,0.45575,0.06475,14.207350521119036
ACA_GER,S49,old,up,Savanna,2,0.4548333333333333,0.003833333333333333,0.8427995602784902
ACA_GER,S49,old,up,Savanna,3,0.35850000000000004,0.017,4.741980474198047
ACA_GRA,S49,old,up,Savanna,1,0.7494999999999999,0.022,2.935290193462308
ACA_GRA,S49,old,up,Savanna,2,0.618,0.011000000000000001,1.7799352750809063
ACA_GRA,S49,old,up,Savanna,3,0.32392857142857145,0.008571428571428572,2.646085997794928
ACA_GRA,S50,old,up,Savanna,1,0.11072727272727273,0,0
ACA_GRA,S52,old,up,Savanna,1,0.1971,0.007775,3.944698122780314
ACA_GRA,S53,old,up,Savanna,1,0.06055555555555556,7.222222222222222e-4,1.1926605504587156
ACA_GRA,S53,old,up,Savanna,2,0.05068421052631579,0.001,1.9730010384215992
ACA_GRA,S53,old,up,Savanna,3,0.05252,8.4e-4,1.5993907083015995
ACA_GRA,S55,old,up,Savanna,1,0.07084,0.00144,2.0327498588368154
ACA_KAR,S1,old,up,Savanna,1,0.5041612903225806,0.013903225806451612,2.757694030328236
ACA_KAR,S1,old,up,Savanna,2,1.665,0.010124999999999999,0.608108108108108
ACA_KAR,S1,old,up,Savanna,3,1.0380869565217392,0.01526086956521739,1.470095493382476
ACA_KAR,S10,old,up,Savanna,1,1.0676666666666665,0.05071428571428571,4.750011150260916
ACA_KAR,S10,old,up,Savanna,2,0.3358695652173913,0.056913043478260865,16.944983818770226
ACA_KAR,S11,old,up,Savanna,1,1.1634166666666665,0.092,7.907742998352553
ACA_KAR,S11,old,up,Savanna,2,2.7118235294117645,0.10441176470588234,3.850241860263335
ACA_KAR,S19,old,up,Savanna,1,0.03025,0,0
ACA_KAR,S19,old,up,Savanna,2,7.657333333333333,0.5516666666666666,7.204422775552847
ACA_KAR,S19,old,up,Savanna,3,13.8865,0.96,6.913189068519785
ACA_KAR,S20,old,up,Savanna,1,0.1145952380952381,0.0019523809523809524,1.7037190941200915
ACA_KAR,S20,old,up,Savanna,2,0.14982857142857142,0.004971428571428572,3.3180778032036615
ACA_KAR,S20,old,up,Savanna,3,0.20421052631578948,0.0013684210526315789,0.6701030927835051
ACA_KAR,S21,old,up,Savanna,1,0.03091891891891892,0,0
ACA_KAR,S27,old,up,Savanna,1,0.1637037037037037,0.0052037037037037034,3.178733031674208
ACA_KAR,S27,old,up,Savanna,2,0.03457142857142857,0.003971428571428571,11.487603305785122
ACA_KAR,S27,old,up,Savanna,3,0.18202631578947367,0.004,2.1974844585803095
ACA_KAR,S30,old,up,Savanna,1,0.09030769230769231,0.0015769230769230769,1.7461669505962518
ACA_KAR,S30,old,up,Savanna,2,0.2754074074074074,0.004518518518518519,1.6406670252824103
ACA_KAR,S49,old,up,Savanna,1,0.4518,9e-4,0.19920318725099603
ACA_KAR,S49,old,up,Savanna,2,0.7426,0,0
ACA_KAR,S49,old,up,Savanna,3,0.31016666666666665,0.0015,0.48361096184846863
ACA_KAR,S5,old,up,Savanna,1,0.02975,0.006500000000000001,21.848739495798323
ACA_KAR,S5,old,up,Savanna,2,0.1748125,0.030083333333333333,17.208914312954356
ACA_KAR,S5,old,up,Savanna,3,0.09777551020408164,1.6326530612244898e-4,0.1669797537048633
ACA_KAR,S52,old,up,Savanna,1,0.17505128205128204,0.006487179487179487,3.7058737366339534
ACA_KAR,S52,old,up,Savanna,2,0.09597499999999999,0.0028,2.917426413128419
ACA_KAR,S52,old,up,Savanna,3,0.20445,0.0062499999999999995,3.05698214722426
ACA_KAR,S7,old,up,Savanna,1,0.0713235294117647,0.0013529411764705882,1.8969072164948453
ACA_KAR,S7,old,up,Savanna,2,0.08924,3.2e-4,0.3585835948005379
ACA_KAR,S7,old,up,Savanna,3,0.09671428571428571,3.214285714285714e-4,0.3323485967503692
ACA_KAR,S8,old,up,Savanna,1,0.05955,6.5e-4,1.0915197313182199
ACA_KAR,S8,old,up,Savanna,2,0.0540625,1.25e-4,0.23121387283236997
ACA_KAR,S9,old,up,Savanna,1,0.057107142857142856,0.0014285714285714286,2.5015634771732334
ACA_KAR,S9,old,up,Savanna,2,0.068,5.416666666666666e-4,0.7965686274509803
ACA_KAR,S9,old,up,Savanna,3,0.07190909090909091,0.0014545454545454545,2.02275600505689
ACA_KAR,T23,old,up,Thicket,1,0.06238888888888889,0,0
ACA_KAR,T23,old,up,Thicket,2,0.08142105263157895,6.842105263157894e-4,0.8403361344537815
ACA_NIG,S49,old,up,Savanna,1,0.5311025641025641,0.01485897435897436,2.7977598609568872
ACA_NIG,S50,old,up,Savanna,1,0.6727857142857143,0.03142857142857143,4.671408854443147
ACA_NIG,S50,old,up,Savanna,2,0.6309577464788733,0.03138028169014084,4.973436314121166
ACA_NIG,S50,old,up,Savanna,3,0.5105540540540541,0.005608108108108108,1.0984357216590348
ACA_NIG,S52,old,up,Savanna,1,1.5383181818181817,0.03465909090909091,2.253050852465798
ACA_NIG,S55,old,up,Savanna,1,0.5506111111111112,0.003388888888888889,0.6154777519927354
ACA_NIG,S55,old,up,Savanna,2,0.9284545454545454,0.0034545454545454545,0.372074806619015
ACA_NIG,S55,old,up,Savanna,3,3.1536875,0.188875,5.989020789155551
ACA_NIL,S1,old,up,Savanna,1,0.9863076923076922,0.01823076923076923,1.8483855872718766
ACA_NIL,S1,old,up,Savanna,2,3.2632857142857143,0.06557142857142857,2.009368296633542
ACA_NIL,S1,old,up,Savanna,3,0.02120754716981132,0,0
ACA_NIL,S11,old,up,Savanna,1,4.0169999999999995,0.08133333333333333,2.0247282383204714
