species,site,leaf_age,herbivory_type,side,habitat,individual,mean_herbivory,mean_leaf_area,herbivory_standardized
ACA_BUR,S52,old,sap_miner_herbivory,up,Savanna,1,0,0.3189,0
ACA_BUR,S52,old,sap_miner_herbivory,up,Savanna,2,0,0.4346363636363636,0
ACA_BUR,S52,old,sap_miner_herbivory,up,Savanna,3,0,0.39004761904761903,0
ACA_BUR,S52,old,chew_herbivory,up,Savanna,1,0.00345,0.3189,1.081843838193791
ACA_BUR,S52,old,chew_herbivory,up,Savanna,2,0.007227272727272727,0.4346363636363636,1.6628320435055428
ACA_BUR,S52,old,chew_herbivory,up,Savanna,3,0.005571428571428572,0.39004761904761903,1.4283970211207424
ACA_BUR,T9,old,sap_miner_herbivory,low,Thicket,1,0.014818181818181819,0.29533333333333334,5.017443053560435
ACA_BUR,T9,old,sap_miner_herbivory,low,Thicket,2,0.0013571428571428571,0.27526190476190476,0.4930369345212352
ACA_BUR,T9,old,sap_miner_herbivory,low,Thicket,3,8.064516129032258e-4,0.2685161290322581,0.30033637674195096
ACA_BUR,T9,old,sap_miner_herbivory,up,Thicket,1,4.888888888888889e-4,0.29384444444444446,0.16637676775315738
ACA_BUR,T9,old,sap_miner_herbivory,up,Thicket,2,0.0011140350877192982,0.3295,0.3380986609163272
ACA_BUR,T9,old,sap_miner_herbivory,up,Thicket,3,0.002378048780487805,0.31529268292682927,0.754235321420283
ACA_BUR,T9,old,chew_herbivory,low,Thicket,1,0.008242424242424242,0.29533333333333334,2.7908885696696077
ACA_BUR,T9,old,chew_herbivory,low,Thicket,2,0.004047619047619047,0.27526190476190476,1.4704610327826313
ACA_BUR,T9,old,chew_herbivory,low,Thicket,3,0.012983870967741935,0.2685161290322581,4.83541566554541
ACA_BUR,T9,old,chew_herbivory,up,Thicket,1,1.5555555555555556e-4,0.29384444444444446,0.05293806246691371
ACA_BUR,T9,old,chew_herbivory,up,Thicket,2,0.0030964912280701754,0.3295,0.939754545696563
ACA_BUR,T9,old,chew_herbivory,up,Thicket,3,0.0019634146341463415,0.31529268292682927,0.6227276243521311
ACA_CAF,S10,old,sap_miner_herbivory,up,Savanna,1,0,0.04019047619047619,0
ACA_CAF,S10,old,sap_miner_herbivory,up,Savanna,2,0,0.01734848484848485,0
ACA_CAF,S10,old,chew_herbivory,up,Savanna,1,3.8095238095238096e-4,0.04019047619047619,0.9478672985781991
ACA_CAF,S10,old,chew_herbivory,up,Savanna,2,1.5151515151515151e-5,0.01734848484848485,0.08733624454148471
ACA_CAF,S19,old,sap_miner_herbivory,up,Savanna,1,0,0.020825,0
ACA_CAF,S19,old,sap_miner_herbivory,up,Savanna,2,0,0.015484848484848485,0
