contrast,odds.ratio,SE,df,null,t.ratio,p.value
Forest sap_miner_herbivory / Forest chew_herbivory,0.21119045335961842,0.022478275103105672,1720,1,-14.609665677037306,4.282907362096466e-12
Thicket sap_miner_herbivory / Forest chew_herbivory,0.2325932793727819,0.026545834697639204,1720,1,-12.778988223325738,4.282907362096466e-12
Thicket sap_miner_herbivory / Savanna chew_herbivory,0.33698495900860226,0.028690934906199474,1720,1,-12.775612355327283,4.282907362096466e-12
Thicket sap_miner_herbivory / Thicket chew_herbivory,0.35159389936648594,0.031684104291847384,1720,1,-11.59930316575616,4.2837955405161665e-12
Forest sap_miner_herbivory / Thicket chew_herbivory,0.31924084481683157,0.03896711055580345,1720,1,-9.354355813266096,4.3404169147720495e-12
Forest sap_miner_herbivory / Savanna chew_herbivory,0.3059761935525951,0.03595470406662145,1720,1,-10.078005040341315,4.340749981679437e-12
Savanna sap_miner_herbivory / Savanna chew_herbivory,0.6024966784792943,0.03360678232083215,1720,1,-9.083549650624843,4.342859405426225e-12
Savanna sap_miner_herbivory / Forest chew_herbivory,0.4158544009530419,0.04395897668207099,1720,1,-8.300443466469035,4.351297100413376e-12
Savanna sap_miner_herbivory / Thicket sap_miner_herbivory,1.7879037695089364,0.15428442605838827,1720,1,6.733346490993073,3.4210489996411297e-10
Savanna sap_miner_herbivory / Thicket chew_herbivory,0.6286160580136859,0.05041868404162302,1720,1,-5.788039406770441,1.2633654378202408e-7
Forest sap_miner_herbivory / Savanna sap_miner_herbivory,0.50784710436061,0.06009319106780611,1720,1,-5.726179965670984,1.8090129538794741e-7
Forest chew_herbivory / Thicket chew_herbivory,1.5116253587145971,0.16463518206480834,1720,1,3.7937312310385165,0.002123543545591633
Forest chew_herbivory / Savanna chew_herbivory,1.448816405690337,0.15003697377612307,1720,1,3.5800793076962814,0.0047483286676514025
Forest sap_miner_herbivory / Thicket sap_miner_herbivory,0.9079817522205328,0.11289918678025851,1720,1,-0.7763420316116226,0.9715121427932512
Savanna chew_herbivory / Thicket chew_herbivory,1.0433519062716112,0.0813319962407902,1720,1,0.5444143748227774,0.9943006699366235
