species,site,herbivory_type,habitat,individual,mean_herbivory,mean_leaf_area,herbivory_standardized,herbratio
ACA_ROB,F7,sap_miner_herbivory,Forest,1,0,0.08158823529411764,0,1e-4
ACA_ROB,F7,sap_miner_herbivory,Forest,2,3.5e-4,0.0712,0.49157303370786515,0.005015730337078652
ACA_ROB,F7,chew_herbivory,Forest,1,1.7647058823529413e-4,0.08158823529411764,0.21629416005767846,0.0022629416005767846
ACA_ROB,F7,chew_herbivory,Forest,2,0,0.0712,0,1e-4
ACA_ROB,S13,sap_miner_herbivory,Savanna,1,0,0.08838888888888889,0,1e-4
ACA_ROB,S13,sap_miner_herbivory,Savanna,2,0,0.06235,0,1e-4
ACA_ROB,S13,chew_herbivory,Savanna,1,0.0035555555555555557,0.08838888888888889,4.022627278441232,0.04032627278441232
ACA_ROB,S13,chew_herbivory,Savanna,2,3.5e-4,0.06235,0.5613472333600642,0.005713472333600643
ACA_ROB,S20,sap_miner_herbivory,Savanna,1,0,0.13901639344262295,0,1e-4
ACA_ROB,S20,sap_miner_herbivory,Savanna,2,0,0.16646,0,1e-4
ACA_ROB,S20,chew_herbivory,Savanna,1,0.005278688524590164,0.13901639344262295,3.797169811320755,0.03807169811320755
ACA_ROB,S20,chew_herbivory,Savanna,2,0,0.16646,0,1e-4
ACA_ROB,S21,sap_miner_herbivory,Savanna,1,0,0.18879166666666666,0,1e-4
ACA_ROB,S21,sap_miner_herbivory,Savanna,2,0,0.1276078431372549,0,1e-4
ACA_ROB,S21,chew_herbivory,Savanna,1,6.25e-5,0.18879166666666666,0.03310527477378062,4.310527477378062e-4
ACA_ROB,S21,chew_herbivory,Savanna,2,2.1568627450980392e-4,0.1276078431372549,0.16902274124154887,0.0017902274124154888
ACA_ROB,S52,sap_miner_herbivory,Savanna,1,0,0.11750724637681159,0,1e-4
ACA_ROB,S52,sap_miner_herbivory,Savanna,2,0,0.2285,0,1e-4
ACA_ROB,S52,sap_miner_herbivory,Savanna,3,0,0.172375,0,1e-4
ACA_ROB,S52,chew_herbivory,Savanna,1,0.005652173913043478,0.11750724637681159,4.8100641341884565,0.048200641341884565
ACA_ROB,S52,chew_herbivory,Savanna,2,0.011152173913043479,0.2285,4.880601274854914,0.048906012748549145
ACA_ROB,S52,chew_herbivory,Savanna,3,0.008425,0.172375,4.887599709934736,0.04897599709934736
ACA_ROB,S53,sap_miner_herbivory,Savanna,1,3.6363636363636367e-4,0.07727272727272727,0.47058823529411775,0.004805882352941178
ACA_ROB,S53,sap_miner_herbivory,Savanna,2,7.333333333333333e-4,0.0546,1.343101343101343,0.01353101343101343
ACA_ROB,S53,sap_miner_herbivory,Savanna,3,5.625000000000001e-4,0.0740625,0.759493670886076,0.00769493670886076
ACA_ROB,S53,chew_herbivory,Savanna,1,3.6363636363636367e-4,0.07727272727272727,0.47058823529411775,0.004805882352941178
ACA_ROB,S53,chew_herbivory,Savanna,2,2e-4,0.0546,0.36630036630036633,0.0037630036630036633
ACA_ROB,S53,chew_herbivory,Savanna,3,6.25e-5,0.0740625,0.08438818565400844,9.438818565400844e-4
ACA_ROB,T23,sap_miner_herbivory,Thicket,1,3.076923076923077e-4,0.08269230769230769,0.37209302325581395,0.003820930232558139
ACA_ROB,T23,sap_miner_herbivory,Thicket,2,5.882352941176471e-5,0.0568235294117647,0.10351966873706005,0.0011351966873706005
ACA_ROB,T23,sap_miner_herbivory,Thicket,3,3.333333333333333e-4,0.04633333333333333,0.7194244604316546,0.0072942446043165465
ACA_ROB,T23,chew_herbivory,Thicket,1,8.461538461538461e-4,0.08269230769230769,1.0232558139534882,0.01033255813953488
ACA_ROB,T23,chew_herbivory,Thicket,2,5.882352941176471e-5,0.0568235294117647,0.10351966873706005,0.0011351966873706005
ACA_ROB,T23,chew_herbivory,Thicket,3,0.0014166666666666668,0.04633333333333333,3.057553956834533,0.030675539568345327
ACA_ROB,T24,sap_miner_herbivory,Thicket,1,0.00115,0.0623,1.8459069020866774,0.018559069020866775
ACA_ROB,T24,sap_miner_herbivory,Thicket,2,3.5e-4,0.06995,0.5003573981415297,0.005103573981415297
ACA_ROB,T24,sap_miner_herbivory,Thicket,3,2.4e-4,0.20628,0.11634671320535196,0.0012634671320535197
ACA_ROB,T24,chew_herbivory,Thicket,1,1e-4,0.0623,0.16051364365971107,0.0017051364365971108
ACA_ROB,T24,chew_herbivory,Thicket,2,6.5e-4,0.06995,0.9292351679771265,0.009392351679771264
ACA_ROB,T24,chew_herbivory,Thicket,3,6e-4,0.20628,0.29086678301337987,0.0030086678301337985
