contrast,odds.ratio,SE,df,null,t.ratio,p.value
chew_herbivory Forest / sap_miner_herbivory Thicket,4.857439914195005,0.8809018062074527,364,1,8.715204973687552,0
sap_miner_herbivory Thicket / chew_herbivory Thicket,0.28680653895268726,0.04349882332198564,364,1,-8.234849713237791,0
sap_miner_herbivory Forest / chew_herbivory Forest,0.24446504443771136,0.04967736507086662,364,1,-6.9322062260533635,2.785585095921306e-10
chew_herbivory Savanna / sap_miner_herbivory Thicket,3.067238566783792,0.5078912936963291,364,1,6.768559587841289,7.768694576526514e-10
sap_miner_herbivory Savanna / sap_miner_herbivory Thicket,2.6046931126654513,0.4219889061353309,364,1,5.908950186693826,1.1830779400590075e-7
sap_miner_herbivory Forest / chew_herbivory Thicket,0.34057538389009223,0.0707561705008587,364,1,-5.184567529460506,5.334798422573783e-6
sap_miner_herbivory Forest / chew_herbivory Savanna,0.38714767000414385,0.08353317732579436,364,1,-4.398054018800439,2.0715544563865151e-4
sap_miner_herbivory Forest / sap_miner_herbivory Savanna,0.45589795538792705,0.095288294477562,364,1,-3.758085811378346,0.002722000876192454
chew_herbivory Forest / sap_miner_herbivory Savanna,1.8648799317568199,0.31281533325064104,364,1,3.715249357213033,0.0031896387580099272
chew_herbivory Forest / chew_herbivory Savanna,1.5836524640756462,0.2632201035223899,364,1,2.7659690840529203,0.06538262004354589
chew_herbivory Forest / chew_herbivory Thicket,1.393145529960908,0.22202560892509818,364,1,2.080467798144764,0.2998331142458547
sap_miner_herbivory Savanna / chew_herbivory Thicket,0.7470430166774801,0.10700445997534329,364,1,-2.036008870829316,0.3239878039968478
sap_miner_herbivory Savanna / chew_herbivory Savanna,0.8491980835376131,0.11930896849213342,364,1,-1.1634691280072624,0.8538766250824034
chew_herbivory Savanna / chew_herbivory Thicket,0.8797040774814604,0.124668782642667,364,1,-0.9044077316117265,0.9452451150382009
sap_miner_herbivory Forest / sap_miner_herbivory Thicket,1.187474264477195,0.25099366605465745,364,1,0.8129369374438152,0.9650677005810595
