contrast,odds.ratio,SE,df,null,t.ratio,p.value
Savanna SCU_MYR / Thicket SPI_AFR,6.363264341321779,1.5937028786713634,364,1,7.388757930062177,2.0918633492073013e-10
Savanna ACA_ROB / Savanna SCU_MYR,0.19835745328967733,0.05048330491747472,364,1,-6.356156541910734,1.2907057223010554e-7
Forest SID_INE / Thicket SPI_AFR,9.823024131232312,3.6260694864390834,364,1,6.189332138192449,3.3868325566288604e-7
Thicket EUC_RAC / Savanna SCU_MYR,0.3068487988309693,0.06359521509094294,364,1,-5.700290830832262,5.08079775451975e-6
Savanna ACA_ROB / Forest SID_INE,0.1284941269094958,0.04769415456177087,364,1,-5.528004720053112,1.2617635549494466e-5
Savanna SID_INE / Thicket SPI_AFR,3.991009773815461,1.1224348486666968,364,1,4.921206995301398,2.5464087625592935e-4
Savanna KRA_FLO / Thicket SPI_AFR,3.52006212540857,0.9022607272227366,364,1,4.909803627852657,2.685910959162596e-4
Forest GYM_HAR / Thicket SPI_AFR,3.3467590918345445,0.8310330773226611,364,1,4.864860135467752,3.310331642227826e-4
Thicket KRA_FLO / Savanna SCU_MYR,0.3052502946095218,0.0747430535910931,364,1,-4.846163813852125,3.609051132230645e-4
Thicket EUC_RAC / Forest SID_INE,0.1987738189067826,0.06790482336475119,364,1,-4.729215375624826,6.149131069628222e-4
Savanna EUC_RAC / Thicket SPI_AFR,2.9712534188826476,0.7057760570423459,364,1,4.5845237664463845,0.0011671061271679717
Thicket KRA_FLO / Forest SID_INE,0.19773832263028987,0.07223991142771592,364,1,-4.436555745687074,0.002198815767038176
Forest ACA_ROB / Forest SID_INE,0.07528344577037065,0.04398587614582084,364,1,-4.426881400023639,0.002289965715313924
Forest EUC_RAC / Forest SID_INE,0.16877203444787398,0.0678857253224918,364,1,-4.423319918537682,0.0023244067918259947
Forest EUC_RAC / Savanna SCU_MYR,0.2605347944282113,0.07932114498118803,364,1,-4.417790640496745,0.0023788431694915513
Thicket ACA_ROB / Forest SID_INE,0.15695589732671553,0.06652714802185462,364,1,-4.368884522539927,0.0029152368773458504
Thicket GYM_HAR / Thicket SPI_AFR,2.8660421200413695,0.6927794322309251,364,1,4.356000474251923,0.003074345249460264
Thicket ACA_ROB / Savanna SCU_MYR,0.24229412519727073,0.07889364705833468,364,1,-4.353669360203296,0.0031039875531542194
Thicket SID_INE / Thicket SPI_AFR,3.2463102402338486,0.9071320341851049,364,1,4.213931352671712,0.0054575697200996975
Forest SCU_MYR / Savanna SCU_MYR,0.35997243023979,0.08745158081407865,364,1,-4.20568556579929,0.005638528489685601
Savanna GYM_HAR / Thicket SPI_AFR,3.002726057328821,0.7987794043676344,364,1,4.133255093398045,0.00748436588647905
Savanna SCU_MYR / Thicket SCU_MYR,3.2943275830193044,0.9549818843949175,364,1,4.112647836642407,0.008103381009739619
Forest ACA_ROB / Savanna SCU_MYR,0.11621568189182888,0.06131215616309035,364,1,-4.079645831578428,0.009193596898181888
Thicket SCU_MYR / Forest SID_INE,0.19663823684607323,0.078802572141213445,364,1,-4.058374931201171,0.009966033296907595
Savanna ACA_ROB / Savanna SID_INE,0.3162610419134409,0.09013654384911979,364,1,-4.039157561492957,0.01071458964907901
