habitat,species,response,SE,df,lower.CL,upper.CL
Forest,ACA_ROB,0.0061429251674711685,0.0031009438907883455,364,0.002271327162484721,0.016504699816726233
Savanna,ACA_ROB,0.010439446073412031,0.002183009254551974,364,0.006914293957946328,0.01573337203697093
Thicket,ACA_ROB,0.012722390692372135,0.003676776057731777,364,0.00719440392947037,0.02240209033742792
Forest,EUC_RAC,0.01366708247906633,0.0036196646930652075,364,0.008105774859894185,0.022955654336088076
Savanna,EUC_RAC,0.02423219583952004,0.0032155023273163015,364,0.018652091071873905,0.031428225102304225
Thicket,EUC_RAC,0.01605760088307829,0.002370257071651036,364,0.012004494669039863,0.021449457661716277
Forest,GYM_HAR,0.027211316463431747,0.004052670523537232,364,0.020280546506098302,0.036422585888597175
Savanna,GYM_HAR,0.02448258830346977,0.004324313033769272,364,0.01727510741515888,0.034591310249242335
Thicket,GYM_HAR,0.02339421372204913,0.0033030510595381253,364,0.017707553602560995,0.030849751556693256
Forest,KRA_FLO,0.021485147978287086,0.005464389058302897,364,0.012998945494814514,0.035313247899708494
Savanna,KRA_FLO,0.02858011098138407,0.004580590197266222,364,0.02082623326253383,0.03910556449887393
Thicket,KRA_FLO,0.015975286443652505,0.003120920221575084,364,0.010867845059074567,0.023426168416515302
Forest,SCU_MYR,0.01878537246285897,0.003620351265332385,364,0.012843935288155651,0.027398957147033977
Savanna,SCU_MYR,0.050498912200495114,0.007208961140282843,364,0.038065319383216986,0.06671213453605167
Thicket,SCU_MYR,0.01588782251786902,0.0039952076142703435,364,0.009673217200779682,0.025990248832604798
Forest,SID_INE,0.07587238733707567,0.021753929772151005,364,0.0426999486750273,0.13128146690322595
Savanna,SID_INE,0.03228040089614627,0.006260893650605746,364,0.021996826120873583,0.04713984754089104
Thicket,SID_INE,0.026416176783933838,0.005105142387449045,364,0.018032868169305744,0.03854382945674573
Forest,SPI_AFR,0.020653369638106853,0.007237114802956287,364,0.010326944670798217,0.04087918070701693
Savanna,SPI_AFR,0.01564006997630771,0.0057418390811718465,364,0.00757291343176622,0.03202358312294982
Thicket,SPI_AFR,0.008288802816012521,0.001705633416506642,364,0.00552700530646124,0.012413420724229506
