contrast,odds.ratio,SE,df,null,t.ratio,p.value
sap_miner_herbivory EUC_RAC / chew_herbivory GYM_HAR,0.21813660537260487,0.04125429603253448,364,1,-8.051092769426084,0
sap_miner_herbivory GYM_HAR / chew_herbivory GYM_HAR,0.20323047958480603,0.037521590482338024,364,1,-8.630508579483157,0
sap_miner_herbivory GYM_HAR / chew_herbivory SID_INE,0.1700407796745911,0.03789721675619105,364,1,-7.949505641130844,0
sap_miner_herbivory EUC_RAC / chew_herbivory SID_INE,0.18251257650380226,0.041419655663868654,364,1,-7.495046557532917,4.079936388734495e-11
chew_herbivory GYM_HAR / sap_miner_herbivory KRA_FLO,4.44833123437547,0.9264175742633408,364,1,7.166599223408251,3.859078612222788e-10
chew_herbivory GYM_HAR / sap_miner_herbivory SCU_MYR,4.2478917715740945,0.8778338722082248,364,1,6.999328381862695,1.125090243192517e-9
sap_miner_herbivory ACA_ROB / chew_herbivory SID_INE,0.08654750530511084,0.030303562383879126,364,1,-6.988851452408475,1.2020227035947073e-9
sap_miner_herbivory ACA_ROB / chew_herbivory GYM_HAR,0.10344042790021696,0.03366327594149804,364,1,-6.971438084521274,1.3414291899493946e-9
sap_miner_herbivory KRA_FLO / chew_herbivory SID_INE,0.18809061529486643,0.045621857732926964,364,1,-6.888533884258627,2.2542208100162497e-9
sap_miner_herbivory GYM_HAR / chew_herbivory SCU_MYR,0.2390085721206998,0.049828324568970406,364,1,-6.865220186615329,2.605993643101101e-9
sap_miner_herbivory SCU_MYR / chew_herbivory SID_INE,0.19696579006743667,0.0475503858827801,364,1,-6.730025017042931,5.9943447983101805e-9
sap_miner_herbivory EUC_RAC / chew_herbivory SCU_MYR,0.256538874896503,0.0549260500540885,364,1,-6.354266192800802,5.6698922668019236e-8
sap_miner_herbivory ACA_ROB / chew_herbivory SCU_MYR,0.1216507928461013,0.04171374579815829,364,1,-6.143529897148371,1.9130713835302515e-7
sap_miner_herbivory SCU_MYR / chew_herbivory SCU_MYR,0.27685424832051697,0.06091567463021747,364,1,-5.83682232222014,1.05952502393869e-6
sap_miner_herbivory KRA_FLO / chew_herbivory SCU_MYR,0.2643793416906302,0.06086746473232143,364,1,-5.778496401574794,1.4554551445167263e-6
sap_miner_herbivory GYM_HAR / chew_herbivory KRA_FLO,0.3079764837962191,0.06616859150726517,364,1,-5.481659890708053,7.0303423632678275e-6
chew_herbivory SID_INE / sap_miner_herbivory SPI_AFR,4.822242790320505,1.4148996793576298,364,1,5.361893255133739,1.3011674689256125e-5
sap_miner_herbivory ACA_ROB / chew_herbivory KRA_FLO,0.15675414107258182,0.05437743129961517,364,1,-5.341875050118325,1.4405422699370618e-5
chew_herbivory ACA_ROB / chew_herbivory SID_INE,0.22300348433956696,0.06266211211340818,364,1,-5.340258332618632,1.4524088887246656e-5
chew_herbivory SID_INE / chew_herbivory SPI_AFR,4.815388952301296,1.4192473144840316,364,1,5.333044691363893,1.5065197632058158e-5
chew_herbivory ACA_ROB / chew_herbivory GYM_HAR,0.26653080018889863,0.06734043138904458,364,1,-5.233475139307225,2.4850848532764758e-5
chew_herbivory GYM_HAR / sap_miner_herbivory SPI_AFR,4.0347192287370754,1.075426379911246,364,1,5.233438655965619,2.4855368836118608e-5
chew_herbivory GYM_HAR / chew_herbivory SPI_AFR,4.028984695398717,1.0750719662414627,364,1,5.222392916292593,2.626110798675807e-5
sap_miner_herbivory EUC_RAC / chew_herbivory KRA_FLO,0.33056530126360484,0.07302403620778072,364,1,-5.010947467433379,7.379615060687517e-5
sap_miner_herbivory KRA_FLO / chew_herbivory KRA_FLO,0.3406681999720113,0.07794353894085986,364,1,-4.706577277474344,3.0486800537621317e-4
chew_herbivory EUC_RAC / chew_herbivory GYM_HAR,0.4484406690308097,0.07728152130972903,364,1,-4.653634472835496,3.8684829846946656e-4
chew_herbivory EUC_RAC / chew_herbivory SID_INE,0.37520553588013583,0.07931442486561745,364,1,-4.637327622432391,4.1607245030139683e-4
chew_herbivory KRA_FLO / sap_miner_herbivory SCU_MYR,2.803139614168012,0.6589479338039413,364,1,4.384729356170085,0.001244533534776382
sap_miner_herbivory ACA_ROB / chew_herbivory EUC_RAC,0.2306669199378752,0.0775279650022524,364,1,-4.3640735751014335,0.0013574369341875503
chew_herbivory SCU_MYR / sap_miner_herbivory SPI_AFR,3.430746924977168,0.9693688148656536,364,1,4.362992977825946,0.001363601618903254
chew_herbivory SCU_MYR / chew_herbivory SPI_AFR,3.4258708155129383,0.9770313502022455,364,1,4.317635793584925,0.0016475056682913047
chew_herbivory ACA_ROB / chew_herbivory SCU_MYR,0.31345271688321497,0.08462573093602593,364,1,-4.2970218369239,0.001794152895719714
sap_miner_herbivory ACA_ROB / sap_miner_herbivory SID_INE,0.22591255132051066,0.08397373774350576,364,1,-4.00207455990502,0.005789829743702124
chew_herbivory EUC_RAC / sap_miner_herbivory GYM_HAR,2.206562076451136,0.44149423454551784,364,1,3.9555487408976173,0.006905775759357025
sap_miner_herbivory EUC_RAC / chew_herbivory EUC_RAC,0.486433591859658,0.0918422155894012,364,1,-3.8168803273772816,0.011510029024064838
sap_miner_herbivory SID_INE / chew_herbivory SID_INE,0.3831018011138417,0.10286590912829331,364,1,-3.5732805947211155,0.026732546113189315
chew_herbivory KRA_FLO / sap_miner_herbivory SPI_AFR,2.6624692695330427,0.7665492003842654,364,1,3.401260677721002,0.046355272525973934
chew_herbivory KRA_FLO / chew_herbivory SPI_AFR,2.658685110605763,0.769657684661462,364,1,3.3777958480054466,0.04982007627833296
chew_herbivory ACA_ROB / chew_herbivory KRA_FLO,0.40390210579273034,0.11098489272547499,364,1,-3.2992839826314193,0.06306688908400804
chew_herbivory EUC_RAC / chew_herbivory SCU_MYR,0.5273872511882723,0.10371145745882733,364,1,-3.2535749989145044,0.0720646090806828
chew_herbivory GYM_HAR / sap_miner_herbivory SID_INE,2.1839870146171045,0.536302857675311,364,1,3.1810870388235277,0.08850352754339752
chew_herbivory EUC_RAC / sap_miner_herbivory KRA_FLO,1.9948126348139834,0.4452250636585274,364,1,3.0939815249264004,0.11216267643389344
sap_miner_herbivory GYM_HAR / sap_miner_herbivory SID_INE,0.4438527283876229,0.1181234494021117,364,1,-3.052102802723936,0.1251947732834786
chew_herbivory EUC_RAC / sap_miner_herbivory SCU_MYR,1.9049274280151582,0.41996950114245074,364,1,2.9231143715479195,0.17272510604864488
sap_miner_herbivory EUC_RAC / sap_miner_herbivory SID_INE,0.4764075135464248,0.12554643125549733,364,1,-2.813679650375414,0.22236272948706348
sap_miner_herbivory ACA_ROB / chew_herbivory ACA_ROB,0.3880993409651175,0.1348634258110476,364,1,-2.7237456829642057,0.2697147312283922
chew_herbivory KRA_FLO / chew_herbivory SID_INE,0.552122608773932,0.1236381452732987,364,1,-2.6525197733986126,0.3112831192524761
sap_miner_herbivory KRA_FLO / sap_miner_herbivory SID_INE,0.4909677134067397,0.13731426116262485,364,1,-2.543531108814428,0.3811897347434149
sap_miner_herbivory ACA_ROB / sap_miner_herbivory SCU_MYR,0.439403742525435,0.15342588801980497,364,1,-2.3551291445808995,0.5152157431083726
sap_miner_herbivory SCU_MYR / sap_miner_herbivory SID_INE,0.5141343358208509,0.145420836124973,364,1,-2.3520598250057723,0.5174816551514065
chew_herbivory SCU_MYR / sap_miner_herbivory SID_INE,1.8570577801848729,0.4918285220967666,364,1,2.3372099249153755,0.528461044181704
sap_miner_herbivory ACA_ROB / chew_herbivory SPI_AFR,0.41675990089546855,0.1614183660560022,364,1,-2.2597615653659324,0.58587918860359
sap_miner_herbivory ACA_ROB / sap_miner_herbivory SPI_AFR,0.4173530834777964,0.16185458385409723,364,1,-2.2532114101214606,0.5907238238215045
sap_miner_herbivory ACA_ROB / sap_miner_herbivory EUC_RAC,0.47420022752956864,0.15848292014275892,364,1,-2.232498877953429,0.606005420900374
sap_miner_herbivory ACA_ROB / sap_miner_herbivory KRA_FLO,0.46013728632569895,0.160437478648009,364,1,-2.2262413131494823,0.6106083848206052
chew_herbivory GYM_HAR / chew_herbivory KRA_FLO,1.5154049944939665,0.28505155985307473,364,1,2.2098727680631804,0.622611315312914
chew_herbivory EUC_RAC / chew_herbivory SPI_AFR,1.8067605923194934,0.5009802116468135,364,1,2.1333438536016542,0.677695553081934
chew_herbivory EUC_RAC / sap_miner_herbivory SPI_AFR,1.8093321902863266,0.5031444678091597,364,1,2.1323054165558895,0.6784279576490333
sap_miner_herbivory ACA_ROB / sap_miner_herbivory GYM_HAR,0.5089808778267058,0.17249836834108775,364,1,-1.9927006171420971,0.7714510388939289
