species,site,leaf_age,side,habitat,individual,herbivory_percentage_mean,mean_leaf_area,mean_total_herbivory,total_herbivory_standardized
ACA_ROB,F7,old,up,Forest,2,0.441125541,6.5504,3.50E-04,0.491573034
ACA_ROB,F7,old,up,Forest,1,0.271757826,7.506117647,1.76E-04,0.21629416
ACA_ROB,F7,old,up,Forest,3,0.441125541,7.3504,3.50E-04,0.491573034
ACA_ROB,S13,old,up,Savanna,1,3.517840184,8.131777778,0.003555556,4.022627278
ACA_ROB,S13,old,up,Savanna,2,0.483530405,5.7362,3.50E-04,0.561347233
ACA_ROB,S20,old,up,Savanna,1,0.379551503,12.7895082,0.005278689,3.797169811
ACA_ROB,S20,old,up,Savanna,2,0,15.31432,0,0
ACA_ROB,S21,old,up,Savanna,1,0.027657807,17.36883333,6.25E-05,0.033105275
ACA_ROB,S21,old,up,Savanna,2,0.057723033,11.73992157,2.16E-04,0.169022741
ACA_ROB,S52,old,up,Savanna,1,5.132371966,10.81066667,0.005652174,4.810064134
ACA_ROB,S52,old,up,Savanna,2,6.519871854,21.022,0.011152174,4.880601275
ACA_ROB,S52,old,up,Savanna,3,1.339299772,15.8585,0.008425,4.88759971
ACA_ROB,S53,old,up,Savanna,1,0.842569789,7.109090909,7.27E-04,0.941176471
ACA_ROB,S53,old,up,Savanna,2,1.508816984,5.0232,9.33E-04,1.709401709
ACA_ROB,S53,old,up,Savanna,3,1.021017069,6.81375,6.25E-04,0.843881857
ACA_ROB,T23,old,up,Thicket,1,1.72533469,7.607692308,0.001153846,1.395348837
ACA_ROB,T23,old,up,Thicket,2,0.230198462,5.227764706,1.18E-04,0.207039337
ACA_ROB,T23,old,up,Thicket,3,3.920211546,4.262666667,0.00175,3.776978417
ACA_ROB,T24,old,up,Thicket,1,1.845649263,5.7316,0.00125,2.006420546
ACA_ROB,T24,old,up,Thicket,2,1.316844155,6.4354,0.001,1.429592566
ACA_ROB,T24,old,up,Thicket,3,0.400232419,18.97776,8.40E-04,0.407213496
EUC_RAC,F3,old,low,Forest,2,0.38736189,13.64,0.0525,0.384897361
EUC_RAC,F3,old,low,Forest,3,5.182886085,16.60875,0.6955,4.187551742
EUC_RAC,F3,old,up,Forest,2,0.455312852,11.4486875,0.041125,0.359211482
EUC_RAC,F3,old,up,Forest,3,5.647862041,14.9856,0.759133333,5.065752011
EUC_RAC,F3,young,up,Forest,1,1.679589377,4.603425,0.034025,0.739123587
EUC_RAC,F7,old,low,Forest,1,6.582110794,3.7083125,0.1535,4.139349097
EUC_RAC,F7,old,low,Forest,2,0.878622367,3.847222222,0.020722222,0.538628159
EUC_RAC,F7,old,low,Forest,3,1.335303427,9.011142857,0.098714286,1.095469102
EUC_RAC,F7,old,up,Forest,1,3.667798924,4.7296,0.18315,3.872420501
EUC_RAC,F7,old,up,Forest,2,4.469510596,4.6635,0.0928125,1.990189772
EUC_RAC,F7,old,up,Forest,3,0.033697309,11.5972,0.0037,0.031904253
EUC_RAC,S1,old,low,Savanna,1,1.16143745,4.726642857,0.092142857,1.94943557
EUC_RAC,S1,old,up,Savanna,1,1.040000749,4.821923077,0.042846154,0.888569833
EUC_RAC,S1,young,up,Savanna,1,0.695963244,0.644666667,0.003333333,0.517063082
EUC_RAC,S13,old,low,Savanna,1,11.52170621,2.865111111,0.330555556,11.53726829
EUC_RAC,S13,old,low,Savanna,2,0.110798254,4.824142857,0.005428571,0.112529243
EUC_RAC,S13,old,up,Savanna,1,0.367077793,2.9535625,0.0104375,0.3533868
EUC_RAC,S13,old,up,Savanna,2,4.163811703,5.045266667,0.194733333,3.859723305
EUC_RAC,S13,young,up,Savanna,1,24.57859087,3.141,0.8002,25.47596307
EUC_RAC,S13,young,up,Savanna,2,0.219855438,5.3764,0.0116,0.215757756
EUC_RAC,S20,old,low,Savanna,1,0.976750766,3.176,0.030166667,0.949832074
EUC_RAC,S20,old,low,Savanna,2,5.795223134,4.130714286,0.236428571,5.723672834
EUC_RAC,S20,old,low,Savanna,3,0.88303212,4.833125,0.03725,0.770722876
EUC_RAC,S20,old,up,Savanna,1,0.444936446,5.084263158,0.023052632,0.453411455
EUC_RAC,S20,old,up,Savanna,2,0.553402055,4.61,0.026,0.563991323
EUC_RAC,S20,old,up,Savanna,3,0.406677055,3.97125,0.01695,0.426817753
EUC_RAC,S20,young,up,Savanna,1,0.126914917,2.327666667,0.002833333,0.121724187
EUC_RAC,S20,young,up,Savanna,2,0.094525686,3.5778,0.0032,0.089440438
EUC_RAC,S20,young,up,Savanna,3,3.434365454,2.7044,0.0926,3.424049697
EUC_RAC,S21,old,low,Savanna,1,3.70181925,3.5753,0.1376,3.848628087
EUC_RAC,S21,old,up,Savanna,1,1.802778161,3.628909091,0.047,1.295155068
EUC_RAC,S22,old,low,Savanna,1,5.821716781,3.595571429,0.188428571,5.240573722
EUC_RAC,S22,old,up,Savanna,1,2.068960982,3.9361875,0.08175,2.07688277
EUC_RAC,S22,young,up,Savanna,1,3.738752819,4.668363636,0.099636364,2.13428883
EUC_RAC,S27,old,low,Savanna,1,0.931577629,3.2925,0.0363,1.102505695
EUC_RAC,S27,old,up,Savanna,1,0.965458293,4.85352381,0.051571429,1.062556415
EUC_RAC,S30,old,low,Savanna,1,2.014854792,6.608,0.170222222,2.576002152
EUC_RAC,S30,old,low,Savanna,2,2.552923666,5.3234,0.1562,2.934214975
EUC_RAC,S30,old,low,Savanna,3,9.560366664,2.903125,0.19375,6.673842842
EUC_RAC,S30,old,up,Savanna,1,4.245142231,5.4945,0.255772727,4.655068291
EUC_RAC,S30,old,up,Savanna,2,0.807824958,5.1724375,0.0488125,0.943704008
EUC_RAC,S30,old,up,Savanna,3,0.161530438,3.061157895,0.004105263,0.134108181
EUC_RAC,S30,young,up,Savanna,2,6.761676455,4.8285,0.2805,5.809257533
EUC_RAC,S30,young,up,Savanna,3,0.095562286,4.57725,0.00425,0.092850511
EUC_RAC,S53,old,low,Savanna,1,0.456988152,5.3895,0.022833333,0.423663296
EUC_RAC,S53,old,low,Savanna,2,0.580636359,11.2496,0.0608,0.540463661
EUC_RAC,S53,old,low,Savanna,3,0.088547388,3.763333333,0.003333333,0.088573959
EUC_RAC,S53,old,up,Savanna,1,5.314104541,11.86088889,0.654666667,5.51954135
EUC_RAC,S53,old,up,Savanna,2,1.832882532,8.8540625,0.1666875,1.882610384
EUC_RAC,S53,old,up,Savanna,3,4.059696957,4.62915,0.1835,3.964010672
EUC_RAC,S53,young,up,Savanna,1,0.782408707,5.181615385,0.061615385,1.189115363
EUC_RAC,S53,young,up,Savanna,3,3.914504517,2.342,0.090666667,3.871335041
EUC_RAC,S58,old,low,Savanna,1,0.039502359,3.742333333,0.001444444,0.038597429
EUC_RAC,S58,old,low,Savanna,2,16.67740328,3.331,0.4,12.00840588
EUC_RAC,S58,old,low,Savanna,3,17.61037319,7.92125,0.91825,11.59223607
EUC_RAC,S58,old,up,Savanna,1,4.88511799,3.177391304,0.159913043,5.032840722
EUC_RAC,S58,old,up,Savanna,2,0.176623584,2.85905,0.00465,0.162641437
EUC_RAC,S58,old,up,Savanna,3,0.019240361,11.134625,0.002125,0.019084612
EUC_RAC,S58,young,up,Savanna,1,1.157548536,3.4985,0.0361,1.031870802
EUC_RAC,S58,young,up,Savanna,2,3.787527166,3.278,0.068375,2.085875534
EUC_RAC,S58,young,up,Savanna,3,4.312375257,9.790285714,0.398571429,4.071090877
EUC_RAC,S8,old,low,Savanna,1,18.32938623,3.038,0.390416667,12.85110819
EUC_RAC,S8,old,low,Savanna,2,1.97162402,5.886125,0.137,2.327507486
EUC_RAC,S8,old,low,Savanna,3,11.74314144,3.3903,0.2877,8.485974693
EUC_RAC,S8,old,up,Savanna,1,6.455283191,3.314933333,0.205933333,6.212291851
EUC_RAC,S8,old,up,Savanna,2,2.286785103,6.778769231,0.119846154,1.767963324
EUC_RAC,S8,old,up,Savanna,3,9.020757948,4.273222222,0.293388889,6.86575314
EUC_RAC,S8,young,up,Savanna,1,11.88467442,1.8077,0.1759,9.730596891
EUC_RAC,S8,young,up,Savanna,2,13.98774483,2.692857143,0.3465,12.86737401
EUC_RAC,S8,young,up,Savanna,3,10.29104476,1.3332,0.15915,11.93744374
EUC_RAC,T12,old,low,Thicket,1,0.094324424,7.5822,0.006,0.079132706
EUC_RAC,T12,old,low,Thicket,3,2.299926662,8.0432,0.1538,1.912174259
EUC_RAC,T12,old,up,Thicket,1,0.070458594,11.21263636,0.007909091,0.0705373
EUC_RAC,T12,old,up,Thicket,2,0.01897695,4.8615,8.64E-04,0.017764813
EUC_RAC,T12,old,up,Thicket,3,5.4308602,10.474,0.3425,3.270001909
EUC_RAC,T12,young,up,Thicket,1,14.84134008,2.9338,0.3684,12.55709319
EUC_RAC,T12,young,up,Thicket,2,0.039296329,4.209666667,0.001666667,0.039591417
EUC_RAC,T13,old,low,Thicket,1,4.840811719,8.004333333,0.326333333,4.076958314
EUC_RAC,T13,old,up,Thicket,1,11.54132977,7.549090909,0.779727273,10.32875723
EUC_RAC,T13,old,up,Thicket,2,9.983871151,6.074083333,0.583,9.5981561
EUC_RAC,T13,old,up,Thicket,3,13.10999769,8.563954545,0.534909091,6.246052429
EUC_RAC,T13,young,up,Thicket,2,7.389201471,5.444384615,0.360923077,6.629272221
EUC_RAC,T17,old,low,Thicket,1,0.413661138,4.8924,0.02,0.408797318
EUC_RAC,T17,old,low,Thicket,2,4.10054675,4.721785714,0.208142857,4.408138567
EUC_RAC,T17,old,low,Thicket,3,19.15366178,6.058666667,1.162666667,19.19014085
EUC_RAC,T17,old,up,Thicket,1,0.499273624,3.951066667,0.015733333,0.398204704
EUC_RAC,T17,old,up,Thicket,2,6.681314339,5.002789474,0.342,6.836186128
EUC_RAC,T17,old,up,Thicket,3,8.573620191,5.908363636,0.503181818,8.516432792
EUC_RAC,T17,young,up,Thicket,2,0,5.231,0,0
EUC_RAC,T22,old,low,Thicket,3,1.290204522,3.510888889,0.050555556,1.439964555
EUC_RAC,T22,old,up,Thicket,1,5.800163092,5.606033333,0.3085,5.502999744
EUC_RAC,T22,old,up,Thicket,2,9.987130022,9.389173913,0.919043478,9.788331612
EUC_RAC,T22,old,up,Thicket,3,2.084727997,4.770142857,0.110928571,2.325476925
EUC_RAC,T22,young,up,Thicket,3,5.079260202,4.429875,0.203875,4.602274331
EUC_RAC,T23,old,low,Thicket,1,0.832505446,3.076,0.025666667,0.834416992
EUC_RAC,T23,old,low,Thicket,2,0.060503446,5.8,0.0028,0.048275862
