contrast,estimate,SE,df,t.ratio,p.value
Forest ACA_ROB - Savanna ACA_ROB,-4.340841489084277,2.0690508282546505,443.5808638487258,-2.097986878720615,0.8732132914471603
Forest ACA_ROB - Thicket ACA_ROB,-0.9048413978341993,2.265229546766813,443.03829645557414,-0.3994479937477813,1
Forest ACA_ROB - Forest EUC_RAC,-1.8501280642433522,2.086774357576942,443.1136508148773,-0.8865970858447908,0.9999987448989487
Forest ACA_ROB - Savanna EUC_RAC,2.578853569970797,1.896901610373748,443.41560136767214,1.3595083455396948,0.9989670730591116
Forest ACA_ROB - Thicket EUC_RAC,1.4484457791180931,1.9145141654891022,443.0568509035163,0.7565604920703513,0.9999999225045929
Forest ACA_ROB - Forest GYM_HAR,0.5472726896068802,1.9315144822196313,443.92333509009904,0.2833386415917384,1
Forest ACA_ROB - Savanna GYM_HAR,4.769075198742639,1.9550408049680015,443.7265805584892,2.4393737392200854,0.6556529601753462
Forest ACA_ROB - Thicket GYM_HAR,3.7071404467388875,1.9160825429810138,443.0641909668557,1.934749867806515,0.9364974049703905
Forest ACA_ROB - Forest KRA_FLO,-6.186496228620038,2.043420030027616,444.7661016326048,-3.0275205967010264,0.23693265884563552
Forest ACA_ROB - Savanna KRA_FLO,-4.101342784411207,1.9218364660760674,443.93433450892365,-2.134074806471527,0.8553236253302745
Forest ACA_ROB - Thicket KRA_FLO,-4.602148206584283,1.9461474193195694,443.0517720505976,-2.3647479943699894,0.7108980017504416
Forest ACA_ROB - Forest SCU_MYR,2.67620361833238,1.9617463329030391,443.03829645534586,1.3641945308861978,0.9989166163299044
Forest ACA_ROB - Savanna SCU_MYR,2.6764614126657156,1.9344554718876001,443.11085131656245,1.3835735438531866,0.9986848445398075
Forest ACA_ROB - Thicket SCU_MYR,2.4836154895323794,2.026351735243438,443.1663496178402,1.2256586289220945,0.9997672951003953
Forest ACA_ROB - Forest SID_INE,-3.8871721483342467,2.3445091289093165,444.55573821899003,-1.6579897686909792,0.9871410576277025
Forest ACA_ROB - Savanna SID_INE,-5.946223145334287,1.9861004678010674,444.14097383253124,-2.99391860670458,0.2556142931431171
Forest ACA_ROB - Thicket SID_INE,-4.333402967778732,1.9982915837896091,443.30746727813323,-2.1685538801903776,0.8369282970212888
Forest ACA_ROB - Forest SPI_AFR,0.6483721184157172,2.447926574714334,443.43469052692234,0.2648658358927209,1
Forest ACA_ROB - Savanna SPI_AFR,3.878685106332382,2.135678897950565,443.03829645544573,1.8161368312691746,0.9655594986526346
Forest ACA_ROB - Thicket SPI_AFR,1.274977864374045,1.9618547946568983,443.0921703720038,0.6498839097809078,0.9999999951149854
Savanna ACA_ROB - Thicket ACA_ROB,3.436000091250078,1.6032933907174551,443.89430729038395,2.143088789078403,0.8506361886514373
Savanna ACA_ROB - Forest EUC_RAC,2.490713424840925,1.340089332415303,444.57707478710506,1.8586174552645687,0.9566281206980676
Savanna ACA_ROB - Savanna EUC_RAC,6.9196950590550745,1.0161661104916133,444.26046315002054,6.809610148981823,6.657053130965096e-9
Savanna ACA_ROB - Thicket EUC_RAC,5.78928726820237,1.0510576864354448,444.68357898856874,5.50805854228244,1.2556408520492113e-5
Savanna ACA_ROB - Forest GYM_HAR,4.888114178691158,1.0764832282315004,443.585966128533,4.540817776345286,0.0013432376365608567
Savanna ACA_ROB - Savanna GYM_HAR,9.109916687826916,1.1193092298541156,443.8643449257064,8.138873909772235,0
Savanna ACA_ROB - Thicket GYM_HAR,8.047981935823165,1.053457355040168,444.4860889804501,7.639589678042826,9.407807866068651e-12
Savanna ACA_ROB - Forest KRA_FLO,-1.8456547395357603,1.2629181719168394,444.51319706890615,-1.4614206847102782,0.9972674024750572
Savanna ACA_ROB - Savanna KRA_FLO,0.23949870467307033,1.0612335672413613,444.86304971176963,0.22567954130553808,1
Savanna ACA_ROB - Thicket KRA_FLO,-0.26130671750000556,1.1072566916303779,444.42755464709126,-0.23599470608323442,1
Savanna ACA_ROB - Forest SCU_MYR,7.017045107416657,1.1347834471087188,444.50781064740414,6.183598399584677,2.957209247478332e-7
Savanna ACA_ROB - Savanna SCU_MYR,7.017302901749993,1.085486804109634,443.9356861602701,6.464659796123368,5.5943524923662835e-8
Savanna ACA_ROB - Thicket SCU_MYR,6.824456978616657,1.244675775933871,444.94878685875375,5.482919416099601,1.4327193110119651e-5
Savanna ACA_ROB - Forest SID_INE,0.4536693407500305,1.70763941672685,444.1078206485081,0.2656704549603392,1
Savanna ACA_ROB - Savanna SID_INE,-1.6053816562500098,1.1704521904970064,443.51778562717993,-1.3715909708095981,0.9988328408539517
Savanna ACA_ROB - Thicket SID_INE,0.007438521305544787,1.194109593695867,443.2287754624931,0.0062293455682924,1
Savanna ACA_ROB - Forest SPI_AFR,4.989213607499995,1.8512415225016972,443.7029431470763,2.695063581308268,0.45743756265837254
Savanna ACA_ROB - Savanna SPI_AFR,8.219526595416658,1.414358212167066,444.09444306131,5.811488578146536,2.4428099927309432e-6
Savanna ACA_ROB - Thicket SPI_AFR,5.615819353458322,1.1360254418050906,444.9144057332337,4.943392239996889,2.1377577843106899e-4
Thicket ACA_ROB - Forest EUC_RAC,-0.9452866664091529,1.6261013456297997,443.161633063715,-0.5813208807370104,0.9999999993856346
Thicket ACA_ROB - Savanna EUC_RAC,3.483694967804996,1.3739774693411286,443.72355847788265,2.5354818732766793,0.5814077659489334
Thicket ACA_ROB - Thicket EUC_RAC,2.3532871769522923,1.398192710850986,443.0730146710633,1.6830921508094578,0.9847471660207223
Thicket ACA_ROB - Forest GYM_HAR,1.4521140874410796,1.4213819197677735,444.46950966112206,1.0216213300914416,0.9999864962941067
Thicket ACA_ROB - Savanna GYM_HAR,5.673916596576838,1.4531905986167861,444.17750639477333,3.9044545168249325,0.017155288225738197
Thicket ACA_ROB - Thicket GYM_HAR,4.611981844573087,1.400339486815586,443.08664112859327,3.293474109668129,0.12125488257968564
Thicket ACA_ROB - Forest KRA_FLO,-5.281654830785838,1.5700776369136116,444.9743354736913,-3.363945009221505,0.0995267887696365
Thicket ACA_ROB - Savanna KRA_FLO,-3.1965013865770078,1.408202318261903,444.4925715353009,-2.2699162933649637,0.7759641443181128
