species,Species,Root-sucker,Bud_protection,Bud_accessory,BarkGR,WoodGR,Evergreen,Wood_density,Spiny,SpineType,Height5,Max_Height,BiteSizeIndex,C,P_Elsenburg,N,N_UCT,N_Elsenburg,CN_ratio,CT,LDMC_leaf,SLA,NormanI,FreshW,LeafArea,Name (checked),Family,mean_chewing_herbivory,mean_mining_herbivory,mean_leaf_area,mean_total_herbivory,total_herbivory,chewing_herbivory,mining_herbivory
ACA_BUR,Acacia_burkei,0,3,1,0.629006734,2.223274411,0,0.9,1,Hook,1,30,0.349,47.57,0.14,2.415,2.52,2.31,18.85,5.788531265,0.366956522,12.22472354,11.59573437,0.575,2.54,Acacia burkei Benth.,Fabaceae,0.004876984126984127,0.0018650793650793651,0.32312896825396825,0.006742063492063492,2.0864930583272443,1.509299569561026,0.5771934887662182
ACA_CAF,Acacia_caffra,0,3,1,0.847777778,5.011944444,0,0.98,1,Hook,2,8,1.542,49.14,0.16,2.98,3.13,2.83,15.68,3.382337253,0.395926844,11.98204288,16.18883137,1.4927,6.9752,Acacia caffra (Thunb.) Willd.,Fabaceae,3.429878048780488e-4,0.00555640243902439,0.29575,0.005899390243902439,1.99472197596025,0.1159722079046657,1.878749768055584
ACA_GER,Acacia_gerrardii,0,3,1,0.598535354,2.140858586,0,0.7749,1,Spine,2,8,0.382,47.14,0.17,2.53,2.8,2.26,16.83,1.313307047,0.404063205,10.31366315,14.52334648,0.443,1.8453,Acacia gerrardii Benth.,Fabaceae,0,0.024999999999999998,0.4275714285714286,0.024999999999999998,5.846976277981957,0,5.846976277981957
ACA_GRA,Acacia_grandicornuta,0,1,1,0.211296296,3.155092593,0,0.911,1,Spine,1,10,0.197,47.28,0.17,2.75,2.89,2.61,16.37,0.339632184,0.452898551,8.717572819,16.33018391,0.276,1.1324,Acacia grandicornuta Gerstner,Fabaceae,0.002029940119760479,0.0025988023952095807,0.17422754491017964,0.00462874251497006,2.656722573549629,1.165108605993951,1.4916139675556777
ACA_KAR,Acacia_karroo,0,3,1,1.135793651,3.286071429,0,0.6888,1,Spine,0.833333333,15,0.545,48.52,0.12,2.125,2.16,2.09,22.47,6.035331063,0.370422535,10.0720372,9.732334469,1.42,5.2273,Acacia karroo Hayne,Fabaceae,0.013013065326633166,1.2562814070351757e-4,0.3015859296482412,0.013138693467336683,4.35653396783503,4.314878131685762,0.04165583614926785
ACA_NIG,Acacia_nigrescens,0,3,1,0.27892911,1.5455639350000001,0,1.1,1,Hook,2.666666667,20,0.408,44.33,0.15,2.41,2.5,2.32,17.71,4.225630652,0.444256757,9.529784241,12.34718467,0.592,2.4696,Acacia nigrescens Oliv.,Fabaceae,0.020478371501272265,0.006712468193384224,0.8131857506361323,0.02719083969465649,3.3437427639854564,2.518289515679857,0.8254532483055992
ACA_NIL,Acacia_nilotica,0,3,1,0.5825,2.609416667,0,0.723,1,Spine,1.333333333,10,0.212,49.5,0.19,2.65,2.79,2.51,17.75,0.88310593,0.368263473,14.56208225,15.45844704,0.334,1.5723,Acacia nilotica (L.) Willd. ex Delile,Fabaceae,0.006664039408866995,0.0017211822660098523,0.27267783251231525,0.008385221674876847,3.0751387443635103,2.4439241530812814,0.6312145912822292
ACA_ROB,Acacia_robusta,0,1,1,0.408416667,2.780583333,0,0.732,1,Spine,1.666666667,8,0.419,46.36,0.21,2.665,2.75,2.58,16.86,1.526158354,0.398913043,8.964269711,15.22692082,0.92,2.7988,Acacia robusta (Burch.) subsp. Robusta,Fabaceae,0.0028683333333333334,1.3333333333333334e-4,0.12939833333333334,0.003001666666666667,2.3197104547972023,2.216669457360347,0.10304099743685519
BER_LUC,Bersama_lucens,0,0,0,0.074458874,2.817012987,1,0.54,0,No,3,10,3.828,42.57,0.15,2.195,1.83,2.56,23.25,1.287980559,0.364952381,13.20036737,12.52600972,5.25,21.0984,Bersama lucens (Hochst.) Szyszyl.,Melianthaceae,0.9525323383084577,0.15376119402985075,14.781567164179105,1.1062935323383085,7.484277682134028,6.4440551379205315,1.0402225442134971
BER_ZEY,Berchemia_zeyheri,0,1,1,0.218035714,3.03422619,1,0.947,0,No,1.333333333,10,1.551,42.94,0.15,2.29,2.83,1.75,15.17,1.396648291,0.336283186,15.5635192,13.04167585,0.452,2.2598,Berchemia zeyheri (Sond.) Grubov.,Rhamnaceae,0.7317903005464481,0.5105765027322404,7.95178825136612,1.2423668032786885,15.62374102536306,9.20283937918903,6.4209016461740305
