(Intercept),Avg_Rain,Herb_type,"poly(elevation, 2)",X20yr_fire,Avg_Rain:Herb_type,"Avg_Rain:poly(elevation, 2)",Avg_Rain:X20yr_fire,"Herb_type:poly(elevation, 2)",Herb_type:X20yr_fire,"poly(elevation, 2):X20yr_fire","Avg_Rain:Herb_type:poly(elevation, 2)",Avg_Rain:Herb_type:X20yr_fire,"Avg_Rain:poly(elevation, 2):X20yr_fire","Herb_type:poly(elevation, 2):X20yr_fire","Avg_Rain:Herb_type:poly(elevation, 2):X20yr_fire",df,logLik,AICc,delta,weight
78.58272405317935,-0.10665090873567373,+,+,-7.732507768734191,NA,NA,0.01100003451409015,NA,NA,NA,NA,NA,NA,NA,NA,8,-101.69070398318243,223.07371565867254,0,0.104772008610813
1.1706144366197155,NA,+,NA,0.2936082746478877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-107.31620951935889,223.5626515968573,0.4889359381847669,0.0820491677033298
-10.034721217397426,0.015237742253737157,+,+,0.2561133937478663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-103.58940867405887,223.97881734811776,0.9051016894452175,0.0666353886863252
0.6088944677213683,NA,+,+,0.35379255702985346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-105.1746980364592,224.3981765607233,1.3244609020507596,0.0540309046816535
-12.613911741057743,0.02179103746073549,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-105.36970783524285,224.7881961582906,1.7144804996180483,0.0444580653410878
77.48636137712282,-0.10665090873567343,+,+,-7.615040339156706,NA,NA,0.01100003451409012,NA,+,NA,NA,NA,NA,NA,NA,9,-101.03714991650904,224.81114193828122,1.737426279608684,0.0439509176357993
0.07425176056337927,NA,+,NA,0.4110757042253523,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,5,-106.80069521848773,225.02996186554688,1.95624620687434,0.0393959704947017
82.68270061567897,-0.1120574712356732,+,+,-7.732507768734156,+,NA,0.011000034514090101,NA,NA,NA,NA,NA,NA,NA,NA,9,-101.30285258582379,225.34254727691072,2.268831618238181,0.033695720247946
78.58272405317874,-0.1066509087356729,+,+,-7.73250776873413,NA,NA,0.011000034514090066,+,NA,NA,NA,NA,NA,NA,NA,10,-99.79287993657564,225.53170581909723,2.4579901604246857,0.0306548706783503
-11.131083893453766,0.01523774225373716,+,+,0.3735808233253307,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,8,-102.98619689312102,225.66470147854972,2.590985819877176,0.0286826879333212
