contrast,estimate,SE,df,t.ratio,p.value
chewing forest - mining forest,201.8475153784402,21.42547594325923,71,9.420911624693424,0
chewing forest - chewing savanna,287.48963769939985,17.14038075460295,71,16.772651775672845,0
chewing forest - mining savanna,295.86827174322445,17.140380754643484,71,17.261476041777605,0
chewing forest - chewing thicket,204.3012103512596,21.425475943252703,71,9.535433933527065,0
chewing forest - mining thicket,266.0416599371273,21.42547594326903,71,12.417071183928877,0
mining forest - mining savanna,94.02075636478423,17.14038075456993,71,5.485336510959165,8.732305687431108e-6
mining savanna - chewing thicket,-91.56706139196481,17.140380754606873,71,-5.342183624908919,1.5315265313620152e-5
mining forest - chewing savanna,85.64212232095966,17.14038075458279,71,4.996512244808896,5.7932576733255026e-5
chewing savanna - chewing thicket,-83.18842734814024,17.140380754610018,71,-4.853359358762562,9.930185517037504e-5
mining forest - mining thicket,64.19414455868707,21.42547594322651,71,2.996159559245709,0.04199480414778978
chewing thicket - mining thicket,61.74044958586765,21.42547594324763,71,2.881637250411958,0.05640706619662572
mining savanna - mining thicket,-29.826611806097162,17.1403807545943,71,-1.7401370618970906,0.5104859029482375
chewing savanna - mining thicket,-21.447977762272586,17.140380754592375,71,-1.2513127957514065,0.8098820548309575
chewing savanna - mining savanna,8.378634043824576,11.337296213395618,71,0.7390328245922316,0.9763152903724327
mining forest - chewing thicket,2.45369497281942,21.42547594322443,71,0.11452230883092117,0.9999971173987277
