contrast,odds.ratio,SE,df,t.ratio,p.value
chew_perc Forest / sap_min_perc Thicket,5.068939811826267,0.9123985809286665,364,9.01750286899688,0
sap_min_perc Thicket / chew_perc Thicket,0.27673029059929316,0.04163334099604548,364,-8.539278771917148,0
sap_min_perc Forest / chew_perc Forest,0.24416809912215762,0.04918151369282126,364,-6.999626011563814,1.8065604567851778e-10
chew_perc Savanna / sap_min_perc Thicket,3.00011499495384,0.49355155258909655,364,6.678285542292009,1.3521614938838411e-9
sap_min_perc Savanna / sap_min_perc Thicket,2.6079623916945036,0.4188808839244824,364,5.96807488935161,8.519455896305317e-8
sap_min_perc Forest / chew_perc Thicket,0.3425017192112962,0.07049396226287381,364,-5.205882197556086,4.797017519431179e-6
sap_min_perc Forest / chew_perc Savanna,0.4125419860572011,0.08818616575661718,364,-4.142053414213824,6.074601303600602e-4
chew_perc Forest / sap_min_perc Savanna,1.9436399190299527,0.32384960165120014,364,3.9884876292392395,0.0011253825842045817
sap_min_perc Forest / sap_min_perc Savanna,0.47457486440748786,0.0982256049492184,364,-3.6010741081546978,0.004823929986208952
chew_perc Forest / chew_perc Savanna,1.6895818394802091,0.2793883846090887,364,3.171762797523837,0.020268344644239322
sap_min_perc Savanna / chew_perc Thicket,0.7217021905256475,0.10268683262505156,364,-2.2921916827256634,0.19986551407070563
chew_perc Forest / chew_perc Thicket,1.4027291871570091,0.22163286542134308,364,2.1418812217646495,0.26821179091717906
chew_perc Savanna / chew_perc Thicket,0.830222694384873,0.117210337496838,364,-1.3179069653009938,0.7750240564453958
sap_min_perc Forest / sap_min_perc Thicket,1.2376733984182469,0.2597249822937659,364,1.0161256433414267,0.9124194411433191
sap_min_perc Savanna / chew_perc Savanna,0.8692874760071089,0.12167335096125684,364,-1.0008025766606872,0.917508205037654
