contrast,odds.ratio,SE,df,t.ratio,p.value
Savanna SCU_MYR / Thicket SPI_AFR,6.309653658779631,1.5800950925713892,364,7.355817908972783,2.6065960501142627e-10
Savanna ACA_ROB / Savanna SCU_MYR,0.1830877036851634,0.04678554325036414,364,-6.644028224339727,2.3308074026395786e-8
Forest SID_INE / Thicket SPI_AFR,10.161884582130545,3.7404799287016157,364,6.299136020944311,1.7989417089303572e-7
Savanna ACA_ROB / Forest SID_INE,0.11368166899534377,0.04214483807059505,364,-5.865109519359314,2.0817648629378738e-6
Thicket EUC_RAC / Savanna SCU_MYR,0.3234215259356735,0.06676857045414236,364,-5.4678094658021434,1.7239915564903896e-5
Savanna KRA_FLO / Thicket SPI_AFR,3.6980921094248558,0.942429701999064,364,5.131871234531928,9.30516607360321e-5
Savanna SID_INE / Thicket SPI_AFR,4.086745493779382,1.145539343940286,364,5.022185949836701,1.5795735989287962e-4
Forest GYM_HAR / Thicket SPI_AFR,3.3170697761308294,0.8234703809290835,364,4.830092345278104,3.886262327018608e-4
Thicket KRA_FLO / Savanna SCU_MYR,0.30830785714884207,0.07538343885547488,364,-4.812362462989732,4.215645872198692e-4
Savanna EUC_RAC / Thicket SPI_AFR,3.097027252195633,0.7335367236759931,364,4.772783335162782,5.0497154480178e-4
Thicket EUC_RAC / Forest SID_INE,0.2008168660010764,0.0682815359172693,364,-4.721389777746041,6.369344952683598e-4
Thicket KRA_FLO / Forest SID_INE,0.19143258154205908,0.06967422238846993,364,-4.542283825181434,0.0014016348183798488
Savanna ACA_ROB / Savanna KRA_FLO,0.31238270039042293,0.08120587471861482,364,-4.475851898399578,0.001862502246518627
Thicket GYM_HAR / Thicket SPI_AFR,2.9329219092432552,0.7071719192868473,364,4.462594510049823,0.001970140416708843
Forest ACA_ROB / Forest SID_INE,0.07587313549254658,0.04409715114738858,364,-4.436873770619029,0.0021958781084254753
Savanna ACA_ROB / Savanna SID_INE,0.28267480840024506,0.08053860842083997,364,-4.434491624963616,0.002217972464822471
Thicket ACA_ROB / Forest SID_INE,0.15683108292275735,0.065868883119471,364,-4.410930445564652,0.0024480475819015357
Thicket SID_INE / Thicket SPI_AFR,3.368666479686705,0.9355126360714217,364,4.373326904942517,0.002862189188752584
Thicket ACA_ROB / Savanna SCU_MYR,0.25258111613369394,0.08126615508523193,364,-4.27677895948858,0.004245560753634692
Forest EUC_RAC / Forest SID_INE,0.18809423870325684,0.07455445864081028,364,-4.2153098452708635,0.005427848855337647
Forest SCU_MYR / Savanna SCU_MYR,0.3626970931023098,0.08779421559489392,364,-4.189829181525472,0.0060022398086988504
Savanna ACA_ROB / Forest GYM_HAR,0.34826520917571696,0.08808239628115128,364,-4.170492876149036,0.006475158928637703
Forest SCU_MYR / Forest SID_INE,0.22520360490474284,0.08142488518781117,364,-4.1230928081829505,0.007783963195495236
Thicket SCU_MYR / Forest SID_INE,0.19637540814561041,0.07810485656813779,364,-4.092518550631719,0.008753241676704104
Savanna ACA_ROB / Savanna EUC_RAC,0.37300931033643964,0.09020429858390704,364,-4.077897012599064,0.009254966556043076
Savanna SCU_MYR / Thicket SCU_MYR,3.1618711109032716,0.9070902670311369,364,4.0126459869860955,0.011831815332244866
Forest EUC_RAC / Savanna SCU_MYR,0.3029313568751247,0.0901876189939986,364,-4.011365278436753,0.01188838732235098
Savanna GYM_HAR / Thicket SPI_AFR,2.911230754539706,0.7758875738535779,364,4.0094354131969085,0.011974100531554677
Forest ACA_ROB / Savanna SCU_MYR,0.12219593775749893,0.06409368536397042,364,-4.007753354670062,0.012049267184990775
Savanna ACA_ROB / Thicket SID_INE,0.3429309509863055,0.0967241659418098,364,-3.7944361850338475,0.025896353255120186
Savanna ACA_ROB / Thicket GYM_HAR,0.39388024474634536,0.0967986106047104,364,-3.7911858016207547,0.026188247593721403
Thicket GYM_HAR / Savanna SCU_MYR,0.4648308873756029,0.09455527502801425,364,-3.766034209439111,0.02854760908001497
Thicket GYM_HAR / Forest SID_INE,0.28861988005657285,0.09840183213325308,364,-3.64476932066631,0.042758353963888274
Savanna EUC_RAC / Savanna SCU_MYR,0.49083950081574507,0.09696236356334095,364,-3.6024295457138935,0.04900173639729155
Savanna EUC_RAC / Forest SID_INE,0.3047689852374124,0.10177574366834032,364,-3.558086292917082,0.05636674854323054
Forest SID_INE / Savanna SPI_AFR,5.417449660013739,2.6077281003811863,364,3.5101279384150983,0.06537454177620705
Savanna GYM_HAR / Forest SID_INE,0.28648531982532477,0.10233214628082829,364,-3.499644434034128,0.0674976949338858
Savanna ACA_ROB / Savanna GYM_HAR,0.39681498886106104,0.10775505280953035,364,-3.4037400936443403,0.08973567228547663
Savanna GYM_HAR / Savanna SCU_MYR,0.4613931147375807,0.10691805309842516,364,-3.337975247261736,0.10820585207018629
Forest GYM_HAR / Forest SID_INE,0.3264226974161687,0.10995478258741075,364,-3.3236433961661667,0.11260957635276136
Forest KRA_FLO / Forest SID_INE,0.27464459244693307,0.10873123112628198,364,-3.264167971315719,0.1324193649925678
Forest KRA_FLO / Thicket SPI_AFR,2.7909066495520167,0.9003859593898282,364,3.1814057954874655,0.16433209696033502
Forest ACA_ROB / Savanna SID_INE,0.18866211437272173,0.10159040100111366,364,-3.0972436564103116,0.20228459961917933
Forest GYM_HAR / Savanna SCU_MYR,0.5257134472849012,0.11120438881242045,364,-3.0397470832289515,0.2315038647929597
Forest SID_INE / Thicket SID_INE,3.0165896931047995,1.0968492536912051,364,3.0366050521026104,0.23317801136237393
Savanna SCU_MYR / Savanna SPI_AFR,3.363768874984949,1.3465802205768294,364,3.0302393070769598,0.23659434026915527
Forest SCU_MYR / Thicket SPI_AFR,2.288493040521725,0.6308233946799133,364,3.0034215925666436,0.2513458530666782
Forest ACA_ROB / Savanna KRA_FLO,0.2084896814210295,0.10963989666645717,364,-2.981431360263718,0.2638718975386045
Thicket EUC_RAC / Thicket SPI_AFR,2.040677814448114,0.49416299942570413,364,2.9455438477593114,0.28513259115433676
Savanna KRA_FLO / Forest SID_INE,0.3639179405686098,0.12641515864005012,364,-2.9099202855965296,0.3072147232141713
Thicket EUC_RAC / Savanna SID_INE,0.4993405675871718,0.12106358238527073,364,-2.8644080829287155,0.33677984161470587
Forest SID_INE / Forest SPI_AFR,3.7487771577003786,1.7371789271797065,364,2.851603470764128,0.34535844177170194
Forest ACA_ROB / Forest GYM_HAR,0.23243829578374275,0.12058324128654029,364,-2.812644604081525,0.37211902211753234
Thicket EUC_RAC / Savanna KRA_FLO,0.5518190878067365,0.11734801057153564,364,-2.7957506400456245,0.38401520089618213
Forest KRA_FLO / Savanna SCU_MYR,0.4423232716852187,0.13079693212677773,364,-2.758546422840593,0.41078119141569436
Forest ACA_ROB / Thicket SID_INE,0.22887811851036005,0.12283704472816083,364,-2.747508396165459,0.41886145058988244
Thicket ACA_ROB / Savanna SID_INE,0.38996785240907356,0.13483896048174868,364,-2.7234651250094712,0.43666125809570444
Savanna ACA_ROB / Forest KRA_FLO,0.4139228374478532,0.13500143824927505,364,-2.7044991786833448,0.45087843741058953
Thicket KRA_FLO / Savanna SID_INE,0.47600610359777745,0.13118469532847313,364,-2.6935386066852733,0.459158626789238
Forest ACA_ROB / Savanna EUC_RAC,0.24895294195845447,0.12855810790103758,364,-2.692688369376108,0.4598027740202765
Thicket ACA_ROB / Savanna KRA_FLO,0.4309517763199966,0.1402537177843309,364,-2.5864381906921583,0.5417904440643744
Savanna SCU_MYR / Thicket SID_INE,1.8730419579460547,0.4567953473504893,364,2.573260392706098,0.5520775981548338
Savanna KRA_FLO / Thicket KRA_FLO,1.9010240453172513,0.47511237383816135,364,2.5703476896671784,0.5543521237557423
Forest ACA_ROB / Thicket GYM_HAR,0.2628825688572616,0.1367142952619424,364,-2.5690341377829005,0.5553779139932113
Forest SID_INE / Savanna SID_INE,2.4865469595790595,0.8944589853170654,364,2.5322381374151086,0.5840935635220059
Forest ACA_ROB / Savanna GYM_HAR,0.2648412684419844,0.1408558624462497,364,-2.498118455228683,0.6105967861830309
