plot_diversityAlpha,ACA_BUR,ACA_CAF,ACA_GER,ACA_GRA,ACA_KAR,ACA_NIG,ACA_NIL,ACA_ROB,BRA_ILL,CAN_INE,CEL_AFR,CHA_ARI,COM_MOL,COR_CAF,DIC_CIN,DIO_DIC,DIO_NAT,DIO_SIM,DOM_ROT,DRY_ARG,ENG_NAT,ERY_EMA,EUC_DIV,EUC_NAT,EUC_RAC,GRE_FLA,GYM_BUX,GYM_HAR,GYM_MAR,HIP_PAU,KRA_FLO,OLE_EUR,ORM_TRI,PLE_ARM,RAW_LUC,RHU_PEN,SCH_BRA,SCL_BIR,SCO_ZEY,SCU_MYR,SID_INE,SPI_AFR,TAR_CAM,TAR_PAV,ZAN_CAP,ZIZ_MUC
6,0,0,0,0,0,0,0,0,0,0.038333333,1.788869347,0,0,0,0,0,0,0,0,0,101.3730434,0.074192632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.21,0,0,0,0,0,0,0,0,0,0.070277778,2.044422111,0.611218905,0,0,0,0,0,0,0,1.839989691,152.22171,0.026497368,0,0,0,0,0,0.855288462,0,0,0,0,0,0,1.783492366,0,0,0,1.106753247,0,0,0,0,0,0,0
7.85,0,0,0,0,0,0,0,0,0,0,8.177688442,0.611218905,0,0,0,0,0,0,0,17.08561856,31.97499065,0,0,0,0,0,0,0,0,0,0,0,0,0,2.104520992,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,6.133266332,0,0,0,0,0,0,0,0,0,60.44764966,0,0,0,0,0,0,0,0,0,0,0,0,0,4.708419847,0,0,0,0,0,0,0,0,0,0,0
10.32,0,0,0,0,0,0,0,0,0,0.037694444,1.022211055,0,0,0,0,0,0,0,0,0,67.7117449,0,0,0,0,0,0,0.366552198,0,0,0,0,0,0,0,0,0,0,1.383441558,0,0,0,0,0.464,0,0
10.4,0,0,0,0,0,0,0,0,0,0.0575,1.022211055,0,0,0,0,0,0,0,0,0,70.50063861,0,0,0,0,0,0,0.733104396,0,0,0,0,0,0,0.089174618,0,0,0,1.106753247,0,0,0,0,0,0,0
18.95,0,0,0,0,0,0,0,0,0,0.025555556,0.766658291,0,0,0,0,0,0,0,0,0,174.7922917,0.158984211,0,0,0,0,0,1.344024725,0,0,0.66225,0,0,0,0.267523855,0,0,0,0,0,0,0,0,0,0,0
3.79,0,0,0,0,0.007734864,0,1.87E-04,6.14E-05,0,0,0,0,0,0,1.17E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149534884,0,1.211222437,0,0,0,0,0,0,0,0,0,0
4.79,0,0,0,0,0.008329854,0,8.40E-04,0,0,0,0,0,0,0,0.006067379,0,0,0,1.16657619,0,0,0,0,0,0.068145954,0,0,0,5.512375691,0,0,0,0,0,0,0.134580271,0,0,0,0,0,0,0,0,0,0.535508475
6.17,0,0.033338415,0,0,0.001546973,0,0,0,0,0,0,0,0,6.811103448,0.003733772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288313576,0,0,0,0,0,0,0,0.267754237
