species,site,leaf_age,side,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean
ACA_BUR,S52,old,up,Savanna,1,0,0.186902129
ACA_BUR,S52,old,up,Savanna,2,0,0.387296593
ACA_BUR,S52,old,up,Savanna,3,0,0.306268823
ACA_BUR,T9,old,low,Thicket,1,0.502512563,6.986123785
ACA_BUR,T9,old,low,Thicket,2,0.524937999,2.653821471
ACA_BUR,T9,old,low,Thicket,3,0.679119106,4.918073859
ACA_BUR,T9,old,up,Thicket,1,0,0.205442581
ACA_BUR,T9,old,up,Thicket,2,0,1.310961243
ACA_BUR,T9,old,up,Thicket,3,0.242581419,1.616436274
ACA_CAF,S10,old,up,Savanna,1,0,1.011547867
ACA_CAF,S10,old,up,Savanna,2,0,0.063131313
ACA_CAF,S19,old,up,Savanna,1,0,0.104166667
ACA_CAF,S19,old,up,Savanna,2,0,0
ACA_CAF,S20,old,up,Savanna,1,0,0.23103337
ACA_CAF,S21,old,up,Savanna,1,0,0.52276453
ACA_CAF,S21,old,up,Savanna,2,0,0.065365643
ACA_CAF,S21,old,up,Savanna,3,0,0
ACA_CAF,S27,old,up,Savanna,1,0,0.525367655
ACA_CAF,S27,old,up,Savanna,2,0.110253583,5.035604543
ACA_CAF,S49,old,up,Savanna,1,0,0.284906004
ACA_CAF,S49,old,up,Savanna,2,0.100401606,2.893425056
ACA_CAF,S7,old,up,Savanna,1,0,0.113122172
ACA_CAF,S7,old,up,Savanna,2,0,7.756410257
ACA_CAF,S8,old,up,Savanna,1,0,0.205761317
ACA_CAF,S8,old,up,Savanna,2,0,0.278520499
ACA_CAF,S8,old,up,Savanna,3,0,0.446428571
ACA_GER,S49,old,up,Savanna,1,12.27622265,12.96586332
ACA_GER,S49,old,up,Savanna,2,0,1.30704475
ACA_GER,S49,old,up,Savanna,3,1.834862386,3.176467337
ACA_GRA,S49,old,up,Savanna,1,0.491400492,3.297120373
ACA_GRA,S49,old,up,Savanna,2,0.75,1.647736578
ACA_GRA,S49,old,up,Savanna,3,1.907808502,3.827219472
ACA_GRA,S50,old,up,Savanna,1,0,0
ACA_GRA,S52,old,up,Savanna,1,0,1.04922684
ACA_GRA,S53,old,up,Savanna,1,0,1.25675335
ACA_GRA,S53,old,up,Savanna,2,0,1.910931174
