species,site,leaf_age,leaf_area,side,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean
ACA_BUR,S52,old,0.037,up,Savanna,1,0,0
ACA_BUR,S52,old,0.037,up,Savanna,2,0,0
ACA_BUR,S52,old,0.075,up,Savanna,1,0,0
ACA_BUR,S52,old,0.075,up,Savanna,2,0,0
ACA_BUR,S52,old,0.075,up,Savanna,3,0,0
ACA_BUR,S52,old,0.099,up,Savanna,1,0,0
ACA_BUR,S52,old,0.099,up,Savanna,2,0,0
ACA_BUR,S52,old,0.099,up,Savanna,3,0,0
ACA_BUR,S52,old,0.115,up,Savanna,1,0,0
ACA_BUR,S52,old,0.115,up,Savanna,2,0,0
ACA_BUR,S52,old,0.115,up,Savanna,3,0,0
ACA_BUR,S52,old,0.125,up,Savanna,1,0,0
ACA_BUR,S52,old,0.125,up,Savanna,2,0,0
ACA_BUR,S52,old,0.125,up,Savanna,3,0,0
ACA_BUR,S52,old,0.129,up,Savanna,1,0,0
ACA_BUR,S52,old,0.129,up,Savanna,2,0,0
ACA_BUR,S52,old,0.129,up,Savanna,3,0,0
ACA_BUR,S52,old,0.138,up,Savanna,1,0,0
ACA_BUR,S52,old,0.138,up,Savanna,2,0,0
ACA_BUR,S52,old,0.138,up,Savanna,3,0,0
ACA_BUR,S52,old,0.176,up,Savanna,1,0,0
ACA_BUR,S52,old,0.176,up,Savanna,2,0,0
ACA_BUR,S52,old,0.176,up,Savanna,3,0,0
ACA_BUR,S52,old,0.184,up,Savanna,1,0,0
ACA_BUR,S52,old,0.184,up,Savanna,2,0,0
ACA_BUR,S52,old,0.184,up,Savanna,3,0,0
ACA_BUR,S52,old,0.207,up,Savanna,1,0,0
ACA_BUR,S52,old,0.207,up,Savanna,2,0,0
ACA_BUR,S52,old,0.207,up,Savanna,3,0,0
ACA_BUR,S52,old,0.209,up,Savanna,1,0,0
ACA_BUR,S52,old,0.209,up,Savanna,2,0,0
ACA_BUR,S52,old,0.209,up,Savanna,3,0,0
ACA_BUR,S52,old,0.22,up,Savanna,1,0,0
ACA_BUR,S52,old,0.22,up,Savanna,2,0,0
ACA_BUR,S52,old,0.22,up,Savanna,3,0,0
ACA_BUR,S52,old,0.226,up,Savanna,1,0,0
ACA_BUR,S52,old,0.226,up,Savanna,2,0,0
ACA_BUR,S52,old,0.226,up,Savanna,3,0,0
ACA_BUR,S52,old,0.231,up,Savanna,1,0,0
ACA_BUR,S52,old,0.231,up,Savanna,2,0,0
ACA_BUR,S52,old,0.231,up,Savanna,3,0,0
ACA_BUR,S52,old,0.237,up,Savanna,1,0,0
ACA_BUR,S52,old,0.237,up,Savanna,2,0,0
ACA_BUR,S52,old,0.237,up,Savanna,3,0,0
ACA_BUR,S52,old,0.25,up,Savanna,1,0,0
ACA_BUR,S52,old,0.25,up,Savanna,2,0,0
ACA_BUR,S52,old,0.25,up,Savanna,3,0,0
ACA_BUR,S52,old,0.251,up,Savanna,1,0,0
ACA_BUR,S52,old,0.251,up,Savanna,2,0,0
ACA_BUR,S52,old,0.251,up,Savanna,3,0,0
ACA_BUR,S52,old,0.32,up,Savanna,1,0,0
ACA_BUR,S52,old,0.32,up,Savanna,2,0,0
ACA_BUR,S52,old,0.32,up,Savanna,3,0,0
ACA_BUR,S52,old,0.37,up,Savanna,1,0,0
ACA_BUR,S52,old,0.37,up,Savanna,2,0,0
ACA_BUR,S52,old,0.37,up,Savanna,3,0,0
ACA_BUR,S52,old,0.419,up,Savanna,1,0,0
ACA_BUR,S52,old,0.419,up,Savanna,2,0,0
ACA_BUR,S52,old,0.419,up,Savanna,3,0,0
ACA_BUR,S52,old,1.02,up,Savanna,1,1.274509804,1.274509804
ACA_BUR,S52,old,1.02,up,Savanna,2,1.274509804,1.274509804
ACA_BUR,S52,old,1.02,up,Savanna,3,1.274509804,1.274509804
ACA_BUR,S52,old,1.782,up,Savanna,1,2.693602694,2.693602694
ACA_BUR,S52,old,1.782,up,Savanna,2,2.693602694,2.693602694
ACA_BUR,S52,old,1.782,up,Savanna,3,2.693602694,2.693602694
ACA_BUR,S52,old,2.195,up,Savanna,1,3.507972665,3.507972665
ACA_BUR,S52,old,2.195,up,Savanna,2,3.507972665,3.507972665
ACA_BUR,S52,old,2.195,up,Savanna,3,3.507972665,3.507972665
ACA_BUR,T9,old,0.052,up,Thicket,3,0,0
ACA_BUR,T9,old,0.064,low,Thicket,3,0,0
ACA_BUR,T9,old,0.076,low,Thicket,3,0,0
ACA_BUR,T9,old,0.079,low,Thicket,3,0,0
ACA_BUR,T9,old,0.086,up,Thicket,2,0,0
ACA_BUR,T9,old,0.087,low,Thicket,2,19.54022989,19.54022989
ACA_BUR,T9,old,0.089,up,Thicket,2,0,0
ACA_BUR,T9,old,0.092,up,Thicket,3,7.608695652,7.608695652
ACA_BUR,T9,old,0.095,up,Thicket,2,0,0
ACA_BUR,T9,old,0.099,low,Thicket,3,0,0
ACA_BUR,T9,old,0.108,up,Thicket,2,0,0
ACA_BUR,T9,old,0.108,up,Thicket,3,0,0
ACA_BUR,T9,old,0.112,up,Thicket,2,0,0
ACA_BUR,T9,old,0.114,low,Thicket,3,0,0
ACA_BUR,T9,old,0.116,low,Thicket,2,0.862068966,0.862068966
ACA_BUR,T9,old,0.142,up,Thicket,2,0.704225352,0.704225352
ACA_BUR,T9,old,0.146,up,Thicket,2,0,0
ACA_BUR,T9,old,0.147,low,Thicket,3,2.0408163265,2.0408163265
ACA_BUR,T9,old,0.147,up,Thicket,1,0,0
ACA_BUR,T9,old,0.148,up,Thicket,1,0,0
ACA_BUR,T9,old,0.149,up,Thicket,3,0,0
ACA_BUR,T9,old,0.15,low,Thicket,1,0.666666667,0.666666667
ACA_BUR,T9,old,0.151,up,Thicket,1,0,0
ACA_BUR,T9,old,0.152,low,Thicket,3,1.9736842104999999,1.9736842104999999
