species,site,leaf_age,herbivory_type,side,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean
ACA_BUR,S52,old,sap_min_perc,up,Savanna,1,0,0
ACA_BUR,S52,old,sap_min_perc,up,Savanna,2,0,0
ACA_BUR,S52,old,sap_min_perc,up,Savanna,3,0,0
ACA_BUR,S52,old,chew_perc,up,Savanna,1,0,0.186902129075
ACA_BUR,S52,old,chew_perc,up,Savanna,2,0,0.38729659320454546
ACA_BUR,S52,old,chew_perc,up,Savanna,3,0,0.30626882264285715
ACA_BUR,T9,old,sap_min_perc,low,Thicket,1,0.355871886,4.351172599727272
ACA_BUR,T9,old,sap_min_perc,low,Thicket,2,0.2500140635,0.5510794303571429
ACA_BUR,T9,old,sap_min_perc,low,Thicket,3,0,0.30688718951612903
ACA_BUR,T9,old,sap_min_perc,up,Thicket,1,0,0.16373281004444443
ACA_BUR,T9,old,sap_min_perc,up,Thicket,2,0,0.3360582786578947
ACA_BUR,T9,old,sap_min_perc,up,Thicket,3,0,0.9588113509878049
ACA_BUR,T9,old,chew_perc,low,Thicket,1,0,2.634951184878788
ACA_BUR,T9,old,chew_perc,low,Thicket,2,0.259462145,2.102742040952381
ACA_BUR,T9,old,chew_perc,low,Thicket,3,0.6667852065,4.611186669516129
ACA_BUR,T9,old,chew_perc,up,Thicket,1,0,0.04170977108888889
ACA_BUR,T9,old,chew_perc,up,Thicket,2,0,0.9749029639912281
ACA_BUR,T9,old,chew_perc,up,Thicket,3,0,0.6576249230121951
ACA_CAF,S10,old,sap_min_perc,up,Savanna,1,0,0
ACA_CAF,S10,old,sap_min_perc,up,Savanna,2,0,0
ACA_CAF,S10,old,chew_perc,up,Savanna,1,0,1.0115478665079365
ACA_CAF,S10,old,chew_perc,up,Savanna,2,0,0.06313131313636364
ACA_CAF,S19,old,sap_min_perc,up,Savanna,1,0,0
ACA_CAF,S19,old,sap_min_perc,up,Savanna,2,0,0
ACA_CAF,S19,old,chew_perc,up,Savanna,1,0,0.104166666675
ACA_CAF,S19,old,chew_perc,up,Savanna,2,0,0
ACA_CAF,S20,old,sap_min_perc,up,Savanna,1,0,0
ACA_CAF,S20,old,chew_perc,up,Savanna,1,0,0.231033370125
ACA_CAF,S21,old,sap_min_perc,up,Savanna,1,0,0
ACA_CAF,S21,old,sap_min_perc,up,Savanna,2,0,0
ACA_CAF,S21,old,sap_min_perc,up,Savanna,3,0,0
ACA_CAF,S21,old,chew_perc,up,Savanna,1,0,0.5227645301136363
ACA_CAF,S21,old,chew_perc,up,Savanna,2,0,0.06536564325490196
ACA_CAF,S21,old,chew_perc,up,Savanna,3,0,0
ACA_CAF,S27,old,sap_min_perc,up,Savanna,1,0,0.002269426294117647
ACA_CAF,S27,old,sap_min_perc,up,Savanna,2,0.110253583,5.035604542888889
ACA_CAF,S27,old,chew_perc,up,Savanna,1,0,0.5230982282647059
ACA_CAF,S27,old,chew_perc,up,Savanna,2,0,0
ACA_CAF,S49,old,sap_min_perc,up,Savanna,1,0,0.2849060037592593
ACA_CAF,S49,old,sap_min_perc,up,Savanna,2,0.100401606,2.8934250563846153
ACA_CAF,S49,old,chew_perc,up,Savanna,1,0,0
ACA_CAF,S49,old,chew_perc,up,Savanna,2,0,0
ACA_CAF,S7,old,sap_min_perc,up,Savanna,1,0,0
ACA_CAF,S7,old,sap_min_perc,up,Savanna,2,0,4.637681159130435
ACA_CAF,S7,old,chew_perc,up,Savanna,1,0,0.11312217194117646
ACA_CAF,S7,old,chew_perc,up,Savanna,2,0,3.1187290973913044
ACA_CAF,S8,old,sap_min_perc,up,Savanna,1,0,0
ACA_CAF,S8,old,sap_min_perc,up,Savanna,2,0,0
ACA_CAF,S8,old,sap_min_perc,up,Savanna,3,0,0.44642857140000003
ACA_CAF,S8,old,chew_perc,up,Savanna,1,0,0.20576131688888888
ACA_CAF,S8,old,chew_perc,up,Savanna,2,0,0.2785204991363637
ACA_CAF,S8,old,chew_perc,up,Savanna,3,0,0
ACA_GER,S49,old,sap_min_perc,up,Savanna,1,12.276222654,12.9658633165
ACA_GER,S49,old,sap_min_perc,up,Savanna,2,0,1.3070447496666666
ACA_GER,S49,old,sap_min_perc,up,Savanna,3,1.8348623855,3.17646733725
ACA_GER,S49,old,chew_perc,up,Savanna,1,0,0
ACA_GER,S49,old,chew_perc,up,Savanna,2,0,0
ACA_GER,S49,old,chew_perc,up,Savanna,3,0,0
ACA_GRA,S49,old,sap_min_perc,up,Savanna,1,0.4914004915,3.297120372875
ACA_GRA,S49,old,sap_min_perc,up,Savanna,2,0.75,1.6477365784285716
ACA_GRA,S49,old,sap_min_perc,up,Savanna,3,1.9078085015,3.8272194723571427
ACA_GRA,S49,old,chew_perc,up,Savanna,1,0,0
ACA_GRA,S49,old,chew_perc,up,Savanna,2,0,0
ACA_GRA,S49,old,chew_perc,up,Savanna,3,0,0
ACA_GRA,S50,old,sap_min_perc,up,Savanna,1,0,0
ACA_GRA,S50,old,chew_perc,up,Savanna,1,0,0
ACA_GRA,S52,old,sap_min_perc,up,Savanna,1,0,0
ACA_GRA,S52,old,chew_perc,up,Savanna,1,0,1.049226839575
ACA_GRA,S53,old,sap_min_perc,up,Savanna,1,0,0.9368601349444444
ACA_GRA,S53,old,sap_min_perc,up,Savanna,2,0,1.6680161943157894
ACA_GRA,S53,old,sap_min_perc,up,Savanna,3,0,0.55
ACA_GRA,S53,old,chew_perc,up,Savanna,1,0,0.3198932155
ACA_GRA,S53,old,chew_perc,up,Savanna,2,0,0.2429149797368421
ACA_GRA,S53,old,chew_perc,up,Savanna,3,0,0.53737373736
ACA_GRA,S55,old,sap_min_perc,up,Savanna,1,0,1.83094975292
ACA_GRA,S55,old,chew_perc,up,Savanna,1,0,0.78082152296
ACA_KAR,S1,old,sap_min_perc,up,Savanna,1,0,0
ACA_KAR,S1,old,sap_min_perc,up,Savanna,2,0,0
ACA_KAR,S1,old,sap_min_perc,up,Savanna,3,0,0
ACA_KAR,S1,old,chew_perc,up,Savanna,1,0,0.09857647338709677
ACA_KAR,S1,old,chew_perc,up,Savanna,2,0,0.129210559125
ACA_KAR,S1,old,chew_perc,up,Savanna,3,0,0.06884499286956522
ACA_KAR,S10,old,sap_min_perc,up,Savanna,1,0,0
ACA_KAR,S10,old,sap_min_perc,up,Savanna,2,0,0
ACA_KAR,S10,old,chew_perc,up,Savanna,1,0,1.6342771915714285
ACA_KAR,S10,old,chew_perc,up,Savanna,2,0,5.0087270200869565
ACA_KAR,S11,old,sap_min_perc,up,Savanna,1,0,0
ACA_KAR,S11,old,sap_min_perc,up,Savanna,2,0,0
ACA_KAR,S11,old,chew_perc,up,Savanna,1,0,5.5064423875
ACA_KAR,S11,old,chew_perc,up,Savanna,2,0,1.2460112424117646
ACA_KAR,S19,old,sap_min_perc,up,Savanna,1,0,0
ACA_KAR,S19,old,sap_min_perc,up,Savanna,2,0,0
ACA_KAR,S19,old,sap_min_perc,up,Savanna,3,0,0
ACA_KAR,S19,old,chew_perc,up,Savanna,1,0,0
ACA_KAR,S19,old,chew_perc,up,Savanna,2,4.248744689,5.262209993
ACA_KAR,S19,old,chew_perc,up,Savanna,3,6.887022419,6.887022419
ACA_KAR,S20,old,sap_min_perc,up,Savanna,1,0,0
ACA_KAR,S20,old,sap_min_perc,up,Savanna,2,0,0
ACA_KAR,S20,old,sap_min_perc,up,Savanna,3,0,0
ACA_KAR,S20,old,chew_perc,up,Savanna,1,0,0.4395836029761905
ACA_KAR,S20,old,chew_perc,up,Savanna,2,0,0.5256263070571429
ACA_KAR,S20,old,chew_perc,up,Savanna,3,0,0.15675612765789473
ACA_KAR,S21,old,sap_min_perc,up,Savanna,1,0,0
ACA_KAR,S21,old,chew_perc,up,Savanna,1,0,0
ACA_KAR,S27,old,sap_min_perc,up,Savanna,1,0,0
ACA_KAR,S27,old,sap_min_perc,up,Savanna,2,0,0
ACA_KAR,S27,old,sap_min_perc,up,Savanna,3,0,0
ACA_KAR,S27,old,chew_perc,up,Savanna,1,0,3.7848552983333335
ACA_KAR,S27,old,chew_perc,up,Savanna,2,0,13.584569326514286
ACA_KAR,S27,old,chew_perc,up,Savanna,3,0,3.0394063174736843
ACA_KAR,S30,old,sap_min_perc,up,Savanna,1,0,0
ACA_KAR,S30,old,sap_min_perc,up,Savanna,2,0,0
ACA_KAR,S30,old,chew_perc,up,Savanna,1,0,2.2762000513076925
ACA_KAR,S30,old,chew_perc,up,Savanna,2,0.568181818,2.0347861665555556
ACA_KAR,S49,old,sap_min_perc,up,Savanna,1,0,0.3392094017
ACA_KAR,S49,old,sap_min_perc,up,Savanna,2,0,0
ACA_KAR,S49,old,sap_min_perc,up,Savanna,3,0,0.5653490028333333
ACA_KAR,S49,old,chew_perc,up,Savanna,1,0,0
ACA_KAR,S49,old,chew_perc,up,Savanna,2,0,0
ACA_KAR,S49,old,chew_perc,up,Savanna,3,0,0
ACA_KAR,S5,old,sap_min_perc,up,Savanna,1,0,0
ACA_KAR,S5,old,sap_min_perc,up,Savanna,2,0,0
ACA_KAR,S5,old,sap_min_perc,up,Savanna,3,0,0
ACA_KAR,S5,old,chew_perc,up,Savanna,1,59.166666665,48.3508206915
ACA_KAR,S5,old,chew_perc,up,Savanna,2,20.790653005000003,31.250452980270833
ACA_KAR,S5,old,chew_perc,up,Savanna,3,0,0.19346621879591835
ACA_KAR,S52,old,sap_min_perc,up,Savanna,1,0,0
ACA_KAR,S52,old,sap_min_perc,up,Savanna,2,0,0
ACA_KAR,S52,old,sap_min_perc,up,Savanna,3,0,0
ACA_KAR,S52,old,chew_perc,up,Savanna,1,0,0.6861141343076923
ACA_KAR,S52,old,chew_perc,up,Savanna,2,0,0.705740664225
ACA_KAR,S52,old,chew_perc,up,Savanna,3,0,2.347522062175
ACA_KAR,S7,old,sap_min_perc,up,Savanna,1,0,0.15688093420588234
ACA_KAR,S7,old,sap_min_perc,up,Savanna,2,0,0.10407374368
ACA_KAR,S7,old,sap_min_perc,up,Savanna,3,0,0.09292298542857143
ACA_KAR,S7,old,chew_perc,up,Savanna,1,0,1.1346238942647058
ACA_KAR,S7,old,chew_perc,up,Savanna,2,0,0.2088151882
ACA_KAR,S7,old,chew_perc,up,Savanna,3,0,0.19863867364285714
ACA_KAR,S8,old,sap_min_perc,up,Savanna,1,0,0.80985398795
ACA_KAR,S8,old,sap_min_perc,up,Savanna,2,0,0.215517241375
ACA_KAR,S8,old,chew_perc,up,Savanna,1,0,0.07936507935
ACA_KAR,S8,old,chew_perc,up,Savanna,2,0,0
ACA_KAR,S9,old,sap_min_perc,up,Savanna,1,0,0.7330105463571428
ACA_KAR,S9,old,sap_min_perc,up,Savanna,2,0,0.7746703990416667
ACA_KAR,S9,old,sap_min_perc,up,Savanna,3,0,1.653905586090909
ACA_KAR,S9,old,chew_perc,up,Savanna,1,0,0.2782931354285714
ACA_KAR,S9,old,chew_perc,up,Savanna,2,0,0
ACA_KAR,S9,old,chew_perc,up,Savanna,3,0,0.22727272727272727
ACA_KAR,T23,old,sap_min_perc,up,Thicket,1,0,0
ACA_KAR,T23,old,sap_min_perc,up,Thicket,2,0,0.8081072245263158
ACA_KAR,T23,old,chew_perc,up,Thicket,1,0,0
ACA_KAR,T23,old,chew_perc,up,Thicket,2,0,0.13596491226315788
ACA_NIG,S49,old,sap_min_perc,up,Savanna,1,0.3144685185,2.7539871069358974
ACA_NIG,S49,old,chew_perc,up,Savanna,1,0,0
ACA_NIG,S50,old,sap_min_perc,up,Savanna,1,0,0.9625480210857142
ACA_NIG,S50,old,sap_min_perc,up,Savanna,2,0,0.675705091915493
ACA_NIG,S50,old,sap_min_perc,up,Savanna,3,0,0.20291733385135136
ACA_NIG,S50,old,chew_perc,up,Savanna,1,0,3.416380848357143
ACA_NIG,S50,old,chew_perc,up,Savanna,2,0.228050171,5.278684216901408
ACA_NIG,S50,old,chew_perc,up,Savanna,3,0,0.5716115336486486
ACA_NIG,S52,old,sap_min_perc,up,Savanna,1,0,0
ACA_NIG,S52,old,chew_perc,up,Savanna,1,0.064830973,3.5360198597727273
ACA_NIG,S55,old,sap_min_perc,up,Savanna,1,0,0.35364591505555554
ACA_NIG,S55,old,sap_min_perc,up,Savanna,2,0,0.21784438927272726
ACA_NIG,S55,old,sap_min_perc,up,Savanna,3,0.7950769445,0.9447014634374999
ACA_NIG,S55,old,chew_perc,up,Savanna,1,0,0.27341433938888887
ACA_NIG,S55,old,chew_perc,up,Savanna,2,0,0.11937919818181819
ACA_NIG,S55,old,chew_perc,up,Savanna,3,4.3205292150000005,5.30864330875
ACA_NIL,S1,old,sap_min_perc,up,Savanna,1,0,0
ACA_NIL,S1,old,sap_min_perc,up,Savanna,2,0,0
ACA_NIL,S1,old,sap_min_perc,up,Savanna,3,0,0
ACA_NIL,S1,old,chew_perc,up,Savanna,1,0,0.36636591784615385
ACA_NIL,S1,old,chew_perc,up,Savanna,2,0.362131402,1.9121047707142858
ACA_NIL,S1,old,chew_perc,up,Savanna,3,0,0
