species,site,herbivory_type,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean,herbratio
ACA_ROB,F7,sap_min_perc,Forest,1,0,0,1e-4
ACA_ROB,F7,sap_min_perc,Forest,2,0,0.44112554114999997,0.0045112554115
ACA_ROB,F7,chew_perc,Forest,1,0,0.2717578259411765,0.0028175782594117645
ACA_ROB,F7,chew_perc,Forest,2,0,0,1e-4
ACA_ROB,S13,sap_min_perc,Savanna,1,0,0,1e-4
ACA_ROB,S13,sap_min_perc,Savanna,2,0,0,1e-4
ACA_ROB,S13,chew_perc,Savanna,1,0,3.5178401843888887,0.03527840184388889
ACA_ROB,S13,chew_perc,Savanna,2,0,0.4835304054,0.004935304054
ACA_ROB,S20,sap_min_perc,Savanna,1,0,0,1e-4
ACA_ROB,S20,sap_min_perc,Savanna,2,0,0,1e-4
ACA_ROB,S20,chew_perc,Savanna,1,0,0.3795515025245902,0.0038955150252459017
ACA_ROB,S20,chew_perc,Savanna,2,0,0,1e-4
ACA_ROB,S21,sap_min_perc,Savanna,1,0,0,1e-4
ACA_ROB,S21,sap_min_perc,Savanna,2,0,0,1e-4
ACA_ROB,S21,chew_perc,Savanna,1,0,0.02765780689583333,3.765780689583333e-4
ACA_ROB,S21,chew_perc,Savanna,2,0,0.05772303339215686,6.772303339215687e-4
ACA_ROB,S52,sap_min_perc,Savanna,1,0,0,1e-4
ACA_ROB,S52,sap_min_perc,Savanna,2,0,0,1e-4
ACA_ROB,S52,sap_min_perc,Savanna,3,0,0,1e-4
ACA_ROB,S52,chew_perc,Savanna,1,0,5.132371965652174,0.051423719656521746
ACA_ROB,S52,chew_perc,Savanna,2,1.015690325,6.519871854217391,0.06529871854217391
ACA_ROB,S52,chew_perc,Savanna,3,0,1.3392997716,0.013492997715999999
ACA_ROB,S53,sap_min_perc,Savanna,1,0,0.3966103649090909,0.004066103649090909
ACA_ROB,S53,sap_min_perc,Savanna,2,0,1.1717171717333332,0.011817171717333331
ACA_ROB,S53,sap_min_perc,Savanna,3,0,0.9132584485624999,0.009232584485624999
ACA_ROB,S53,chew_perc,Savanna,1,0,0.4459594238181818,0.004559594238181818
ACA_ROB,S53,chew_perc,Savanna,2,0,0.3370998116666667,0.0034709981166666667
ACA_ROB,S53,chew_perc,Savanna,3,0,0.1077586206875,0.001177586206875
ACA_ROB,T23,sap_min_perc,Thicket,1,0,0.3105990040769231,0.0032059900407692306
ACA_ROB,T23,sap_min_perc,Thicket,2,0,0.12515644552941177,0.0013515644552941177
ACA_ROB,T23,sap_min_perc,Thicket,3,0,0.70771764325,0.0071771764325
ACA_ROB,T23,chew_perc,Thicket,1,0,1.4147356854615385,0.014247356854615385
ACA_ROB,T23,chew_perc,Thicket,2,0,0.10504201682352941,0.0011504201682352943
ACA_ROB,T23,chew_perc,Thicket,3,1.515151515,3.212493902416667,0.03222493902416667
ACA_ROB,T24,sap_min_perc,Thicket,1,0,1.6438474607,0.016538474607
ACA_ROB,T24,sap_min_perc,Thicket,2,0,0.4487179487,0.0045871794870000005
ACA_ROB,T24,sap_min_perc,Thicket,3,0,0.11950549448,0.0012950549448
ACA_ROB,T24,chew_perc,Thicket,1,0,0.20180180179999999,0.0021180180179999997
ACA_ROB,T24,chew_perc,Thicket,2,0,0.8681262056000001,0.008781262056
ACA_ROB,T24,chew_perc,Thicket,3,0,0.28072692492,0.0029072692492
EUC_RAC,F3,sap_min_perc,Forest,1,0.011194945000000001,0.13441505415000002,0.0014441505415000002
EUC_RAC,F3,sap_min_perc,Forest,2,0.0238499275,0.14349672575,0.0015349672575
EUC_RAC,F3,sap_min_perc,Forest,3,0,0,1e-4
EUC_RAC,F3,chew_perc,Forest,1,0.07719469649999999,1.545174322625,0.015551743226250001
EUC_RAC,F3,chew_perc,Forest,2,0.052321949500000006,0.29822593395,0.0030822593395
EUC_RAC,F3,chew_perc,Forest,3,0.221013261,5.549972365842105,0.05559972365842106
EUC_RAC,F7,sap_min_perc,Forest,1,0.022776221,0.24287444427777777,0.0025287444427777774
EUC_RAC,F7,sap_min_perc,Forest,2,0,0.12665654855882388,0.0013665654855882388
EUC_RAC,F7,sap_min_perc,Forest,3,0,0.32673166452941266,0.0033673166452941263
EUC_RAC,F7,chew_perc,Forest,1,0.113303756,4.720174199888889,0.04730174199888889
EUC_RAC,F7,chew_perc,Forest,2,0.13068351,2.4417955733235295,0.024517955733235293
EUC_RAC,F7,chew_perc,Forest,3,0.006859652,0.24292110470588235,0.0025292110470588234
EUC_RAC,S1,sap_min_perc,Savanna,1,0.0435841055,0.7147633931999999,0.007247633932
EUC_RAC,S1,chew_perc,Savanna,1,0.025419959,0.3475040658333333,0.003575040658333333
EUC_RAC,S13,sap_min_perc,Savanna,1,0,1.3134226765714285,0.013234226765714285
EUC_RAC,S13,sap_min_perc,Savanna,2,0.088652482,1.7102334374444446,0.017202334374444444
EUC_RAC,S13,chew_perc,Savanna,1,0.074571216,8.8395633038,0.08849563303800001
EUC_RAC,S13,chew_perc,Savanna,2,0.057553957,0.6724347296296296,0.006824347296296296
EUC_RAC,S20,sap_min_perc,Savanna,1,0,0.10060594290322766,0.0011060594290322767
EUC_RAC,S20,sap_min_perc,Savanna,2,0.018834253500000002,0.3819535241764706,0.003919535241764706
EUC_RAC,S20,sap_min_perc,Savanna,3,0,0.277693963,0.00287693963
EUC_RAC,S20,chew_perc,Savanna,1,0.019853087,0.3857097532258064,0.003957097532258065
EUC_RAC,S20,chew_perc,Savanna,2,0.045576290500000005,1.1831651693235294,0.011931651693235294
EUC_RAC,S20,chew_perc,Savanna,3,0,0.7032037740909091,0.007132037740909091
EUC_RAC,S21,sap_min_perc,Savanna,1,0.028442866,1.3772462005625004,0.013872462005625003
EUC_RAC,S21,chew_perc,Savanna,1,0.02790257,1.01898230103125,0.0102898230103125
EUC_RAC,S22,sap_min_perc,Savanna,1,0.348374819,1.8599846654411776,0.018699846654411774
EUC_RAC,S22,chew_perc,Savanna,1,0.0793655775,1.5218292819411765,0.015318292819411765
EUC_RAC,S27,sap_min_perc,Savanna,1,0.056253516,0.2732375116451613,0.002832375116451613
EUC_RAC,S27,chew_perc,Savanna,1,0,0.6812915343548387,0.006912915343548387
EUC_RAC,S30,sap_min_perc,Savanna,1,0.024055809,1.1934167444193562,0.01203416744419356
EUC_RAC,S30,sap_min_perc,Savanna,2,0.029989016,1.2348022600312505,0.012448022600312504
EUC_RAC,S30,sap_min_perc,Savanna,3,0.0331785,0.1417747772580645,0.0015177477725806451
EUC_RAC,S30,chew_perc,Savanna,1,0.031575624,2.4042226816451615,0.024142226816451614
EUC_RAC,S30,chew_perc,Savanna,2,0.0264794735,1.234713199875,0.01244713199875
EUC_RAC,S30,chew_perc,Savanna,3,0.033068783,2.436749763548387,0.024467497635483868
EUC_RAC,S53,sap_min_perc,Savanna,1,0.038629984000000006,0.9409070024285715,0.009509070024285714
EUC_RAC,S53,sap_min_perc,Savanna,2,0.018818216,0.9613279008571429,0.009713279008571428
EUC_RAC,S53,sap_min_perc,Savanna,3,0.062735257,1.6848748235142856,0.016948748235142856
EUC_RAC,S53,chew_perc,Savanna,1,0.0360661045,1.2283852466071428,0.012383852466071427
EUC_RAC,S53,chew_perc,Savanna,2,0.022084806,0.5734007800952381,0.005834007800952381
EUC_RAC,S53,chew_perc,Savanna,3,0.067957866,1.6567184372,0.016667184372
EUC_RAC,S58,sap_min_perc,Savanna,1,0.0508114875,1.8167476619761904,0.018267476619761903
EUC_RAC,S58,sap_min_perc,Savanna,2,0.028725369,2.9832653944166667,0.029932653944166665
EUC_RAC,S58,sap_min_perc,Savanna,3,0,2.664081202526316,0.02674081202526316
EUC_RAC,S58,chew_perc,Savanna,1,0.044372145,1.1425075848095239,0.011525075848095237
EUC_RAC,S58,chew_perc,Savanna,2,0.0278901395,1.6626211400833335,0.016726211400833333
EUC_RAC,S58,chew_perc,Savanna,3,0.018702076,2.6402368221052632,0.026502368221052633
