contrast,odds.ratio,SE,df,t.ratio,p.value
Forest sap_min_perc / Forest chew_perc,0.18990927813774067,0.019981658393111255,1720,-15.788427499931478,4.282907362096466e-12
Thicket sap_min_perc / Forest chew_perc,0.2124156065377596,0.024097061970492502,1720,-13.6562910302106,4.282907362096466e-12
Thicket sap_min_perc / Savanna chew_perc,0.3379367082444168,0.028871425920514282,1720,-12.698590131997097,4.282907362096466e-12
Thicket sap_min_perc / Thicket chew_perc,0.3401279927486996,0.030542929844889894,1720,-12.009501043484331,4.282907362096466e-12
Savanna sap_min_perc / Savanna chew_perc,0.616390459965638,0.03429949699811234,1720,-8.695629552360156,4.332978420507061e-12
Forest sap_min_perc / Savanna chew_perc,0.3021308903097623,0.035931405081853586,1720,-10.064146786865171,4.339195669444962e-12
Savanna sap_min_perc / Forest chew_perc,0.3874422346654103,0.040769720901834804,1720,-9.010811658401527,4.339306691747424e-12
Forest sap_min_perc / Thicket chew_perc,0.304089998989137,0.037405319836578584,1720,-9.677723306017787,4.339528736352349e-12
Savanna sap_min_perc / Thicket sap_min_perc,1.8239819614974357,0.1574105493275566,1720,6.9642936571145295,7.452316541645132e-11
Forest sap_min_perc / Savanna sap_min_perc,0.490161528987008,0.05857531513699919,1720,-5.966593868409104,4.3941410843295614e-8
Savanna sap_min_perc / Thicket chew_perc,0.6203873233739587,0.049653506938109666,1720,-5.964934300833351,4.438085909885814e-8
Forest chew_perc / Savanna chew_perc,1.5909222196644208,0.16425345428124957,1720,4.497240199498146,1.0711460297740949e-4
Forest chew_perc / Thicket chew_perc,1.601238243708037,0.17322823466314471,1720,4.351637653180713,2.0713733952737456e-4
Forest sap_min_perc / Thicket sap_min_perc,0.8940457870923051,0.11188322903795474,1720,-0.8949652188453883,0.9477827386369224
Savanna chew_perc / Thicket chew_perc,1.0064843044594551,0.07849608543274499,1720,0.08287397049726891,0.9999994535174586
