contrast,estimate,SE,df,t.ratio,p.value
Forest ACA_ROB - Savanna ACA_ROB,-0.07508026415712071,0.6199309153224226,5899.745993020379,-0.12111069524266568,1
Forest ACA_ROB - Thicket ACA_ROB,0.02024836663661947,0.6792896817811537,5900.610971205819,0.029808146921246587,1
Forest ACA_ROB - Forest EUC_RAC,-7.1267236651292905,0.6438760526585396,5900.808084511913,-11.06847138622926,6.066258606551855e-13
Forest ACA_ROB - Savanna EUC_RAC,-4.315534139887545,0.6008270734865975,5900.990292743897,-7.182655926012979,1.6131362912119585e-10
Forest ACA_ROB - Thicket EUC_RAC,-5.568263646918577,0.6032930936042716,5900.838600455408,-9.229781852220347,2.4752422334017865e-12
Forest ACA_ROB - Forest GYM_HAR,-6.318032013193457,0.613078329930524,5900.501038895518,-10.305423801081725,0
Forest ACA_ROB - Savanna GYM_HAR,-2.322156282033,0.6105773350063459,5900.349240997745,-3.80321402203517,0.022420891065398463
Forest ACA_ROB - Thicket GYM_HAR,-3.3723642126758726,0.6000501048303647,5900.836692574278,-5.620137694383449,4.1249198029502665e-6
Forest ACA_ROB - Forest KRA_FLO,-13.211502119732977,0.6782264347429512,5899.349465843954,-19.479485674633363,0
Forest ACA_ROB - Savanna KRA_FLO,-10.346190709430376,0.6183590479220734,5900.999925131712,-16.73168807701221,5.6288307348495437e-14
Forest ACA_ROB - Thicket KRA_FLO,-11.878119945512534,0.6319102608939063,5900.947732049853,-18.797162636209816,0
Forest ACA_ROB - Forest SCU_MYR,-3.993800091349053,0.6116638458783907,5900.756805088865,-6.5294035576251614,1.4984970930775887e-8
Forest ACA_ROB - Savanna SCU_MYR,-4.472145934945434,0.6132129686904173,5900.913875671985,-7.292973507224066,7.266875989841992e-11
Forest ACA_ROB - Thicket SCU_MYR,-3.9814181013969248,0.6202774262504738,5899.802576792423,-6.418769945352149,3.09983613222542e-8
Forest ACA_ROB - Forest SID_INE,-12.489795143555808,0.8014831500443178,5899.0055305860305,-15.583353365401615,0
Forest ACA_ROB - Savanna SID_INE,-14.023156228248856,0.6467649509492703,5900.012320264138,-21.681997776265984,0
Forest ACA_ROB - Thicket SID_INE,-11.542095852273073,0.6436028347356549,5900.894901041641,-17.93356901079176,0
Forest ACA_ROB - Forest SPI_AFR,-4.861507376644002,0.7341411841822789,5900.957189125745,-6.622033311016297,8.08155531384358e-9
Forest ACA_ROB - Savanna SPI_AFR,-3.0681783958374154,0.6801580663596645,5900.599807326032,-4.510978473370007,0.0012403199944364118
Forest ACA_ROB - Thicket SPI_AFR,-5.630971363988019,0.6133358045741437,5900.146820511954,-9.18089458008694,0
Savanna ACA_ROB - Thicket ACA_ROB,0.09532863079374018,0.39788915816433307,5899.595955846696,0.23958589681995884,1
Savanna ACA_ROB - Forest EUC_RAC,-7.05164340097217,0.3343900716009636,5900.666985832482,-21.088076470724523,0
Savanna ACA_ROB - Savanna EUC_RAC,-4.240453875730424,0.24112411950773902,5898.2054912806925,-17.586187082351685,0
Savanna ACA_ROB - Thicket EUC_RAC,-5.4931833827614565,0.24701148024863376,5895.022624311794,-22.238575216148643,0
Savanna ACA_ROB - Forest GYM_HAR,-6.242951749036336,0.27064111290918047,5900.255461761415,-23.067270459870205,4.2177372705509697e-13
Savanna ACA_ROB - Savanna GYM_HAR,-2.2470760178758793,0.2649866229481964,5899.71240879992,-8.479960206576811,1.8928192346834294e-12
Savanna ACA_ROB - Thicket GYM_HAR,-3.2972839485187517,0.23897094276177924,5894.503659107279,-13.797844668528109,0
Savanna ACA_ROB - Forest KRA_FLO,-13.136421855575856,0.3973443615203721,5900.736001752098,-33.060546789468766,0
Savanna ACA_ROB - Savanna KRA_FLO,-10.271110445273255,0.2820112488963497,5900.135580857466,-36.4209246456275,0
Savanna ACA_ROB - Thicket KRA_FLO,-11.803039681355415,0.31040610045107914,5900.163137764531,-38.0245093901291,0
Savanna ACA_ROB - Forest SCU_MYR,-3.918719827191932,0.26671276648755493,5896.0525190236285,-14.692659368350046,4.731215419440105e-12
Savanna ACA_ROB - Savanna SCU_MYR,-4.397065670788313,0.2706630169396453,5900.999783498556,-16.24553557595498,5.6288307348495437e-14
Savanna ACA_ROB - Thicket SCU_MYR,-3.906337837239804,0.2856535272429116,5887.073105266483,-13.675090501921112,0
Savanna ACA_ROB - Forest SID_INE,-12.414714879398687,0.5833623064029636,5899.811113946668,-21.28131136197047,0
Savanna ACA_ROB - Savanna SID_INE,-13.948075964091736,0.3404236739473845,5900.378824815002,-40.97269676446631,0
Savanna ACA_ROB - Thicket SID_INE,-11.467015588115952,0.3337987168053876,5900.8457195653,-34.353084690860236,1.1251000131551336e-12
Savanna ACA_ROB - Forest SPI_AFR,-4.786427112486881,0.48635221358410197,5900.214013839476,-9.841483144929066,0
Savanna ACA_ROB - Savanna SPI_AFR,-2.9930981316802945,0.3993431828301984,5899.723256558886,-7.495052527171765,1.4017120797404914e-11
Savanna ACA_ROB - Thicket SPI_AFR,-5.555891099830898,0.2703491647537501,5888.00619752566,-20.550798094351542,0
Thicket ACA_ROB - Forest EUC_RAC,-7.14697203176591,0.43325045281218616,5900.737924018888,-16.496167483208882,0
Thicket ACA_ROB - Savanna EUC_RAC,-4.335782506524164,0.3659742720920737,5900.999970866241,-11.847233090290416,5.6288307348495437e-14
Thicket ACA_ROB - Thicket EUC_RAC,-5.588512013555197,0.3693249087119171,5899.477602534564,-15.131695376426341,4.578559753554146e-13
Thicket ACA_ROB - Forest GYM_HAR,-6.338280379830076,0.3865421005753358,5900.771482325559,-16.39738690920361,0
Thicket ACA_ROB - Savanna GYM_HAR,-2.3424046486696195,0.3825894512823467,5900.85413794505,-6.122501916397457,2.047274672012378e-7
Thicket ACA_ROB - Thicket GYM_HAR,-3.392612579312492,0.3640418584104858,5899.60135559316,-9.319292550932577,0
Thicket ACA_ROB - Forest KRA_FLO,-13.231750486369597,0.48484790076821366,5893.029556412488,-27.29051825408473,2.05790939844519e-12
Thicket ACA_ROB - Savanna KRA_FLO,-10.366439076066994,0.39418530004061353,5900.9975187588525,-26.29839082025363,0
Thicket ACA_ROB - Thicket KRA_FLO,-11.898368312149154,0.41450267392858947,5899.711415742678,-28.70516660213151,0
Thicket ACA_ROB - Forest SCU_MYR,-4.014048457985672,0.38277252942328865,5899.606834380466,-10.486772559236456,0
Thicket ACA_ROB - Savanna SCU_MYR,-4.4923943015820536,0.38600554962573935,5900.480051516116,-11.6381598812187,0
Thicket ACA_ROB - Thicket SCU_MYR,-4.0016664680335445,0.3958030402646306,5899.147817292053,-10.110246918159254,0
Thicket ACA_ROB - Forest SID_INE,-12.510043510192428,0.6460969772221036,5900.294884202527,-19.36248574320748,0
Thicket ACA_ROB - Savanna SID_INE,-14.043404594885475,0.4387920719296513,5898.2050224349305,-32.00469081660382,0
Thicket ACA_ROB - Thicket SID_INE,-11.562344218909693,0.43259533615244194,5900.187210563567,-26.72785222731862,1.2622125566963405e-12
Thicket ACA_ROB - Forest SPI_AFR,-4.881755743280621,0.5599150487310031,5894.862403073605,-8.718743592165776,0
Thicket ACA_ROB - Savanna SPI_AFR,-3.0884267624740347,0.4843802330221901,5899.436586823793,-6.376037979924234,4.0923950783700036e-8
Thicket ACA_ROB - Thicket SPI_AFR,-5.651219730624638,0.3850014311253773,5899.0673851765205,-14.678438243997839,0
Forest EUC_RAC - Savanna EUC_RAC,2.811189525241746,0.2960394220747029,5899.560631481056,9.495997207197517,0
Forest EUC_RAC - Thicket EUC_RAC,1.5584600182107133,0.3009049331104773,5900.701350428666,5.179243829939221,4.665087600719264e-5
Forest EUC_RAC - Forest GYM_HAR,0.8086916519358338,0.32090217688343065,5899.437934054215,2.5200566097424613,0.5929447104392129
Forest EUC_RAC - Savanna GYM_HAR,4.80456738309629,0.31624537162774746,5899.735837140388,15.192530275990089,3.131606085560179e-12
Forest EUC_RAC - Thicket GYM_HAR,3.754359452453418,0.29429742727768365,5900.425808927551,12.757024372187258,0
Forest EUC_RAC - Forest KRA_FLO,-6.084778454603686,0.4336091478419743,5900.708354067609,-14.032864585276783,0
Forest EUC_RAC - Savanna KRA_FLO,-3.219467044301085,0.3301938898996785,5899.641112482336,-9.750232038755298,1.532329818587641e-12
Forest EUC_RAC - Thicket KRA_FLO,-4.751396280383244,0.3547193399484717,5899.801031056255,-13.394804695660111,0
Forest EUC_RAC - Forest SCU_MYR,3.1329235737802374,0.317145618161149,5900.277591885843,9.878501843870113,0
Forest EUC_RAC - Savanna SCU_MYR,2.6545777301838562,0.32082144410101426,5899.773903046464,8.274315133835108,0
Forest EUC_RAC - Thicket SCU_MYR,3.1453055637323657,0.33306727792124896,5900.99465007081,9.44345413744321,0
