habitat,species,emmean,SE,df,lower.CL,upper.CL
Forest,ACA_ROB,0.10634471842856941,0.5971416424403322,1040.976801315938,-1.0653937710228556,1.2780832078799942
Savanna,ACA_ROB,0.18142498258569012,0.23129579331023414,28.277222517220913,-0.29215380040622396,0.6550037655776042
Thicket,ACA_ROB,0.08609635179194994,0.35869848568203677,163.27500609679183,-0.6221895873762938,0.7943822909601937
Forest,EUC_RAC,7.2330683835578595,0.2879219230516893,68.39233086076423,6.658588802795279,7.80754796432044
Savanna,EUC_RAC,4.421878858316114,0.17061731734296395,8.469001389086646,4.0321951112492815,4.811562605382946
Thicket,EUC_RAC,5.674608365347146,0.17796990632440318,10.103570650729377,5.278617004624137,6.070599726070156
Forest,GYM_HAR,6.424376731622026,0.21115377073219724,19.77826221971852,5.983600903529327,6.8651525597147245
Savanna,GYM_HAR,2.4285010004615692,0.2038849820701973,17.200801236956636,1.9987235024929992,2.8582784984301393
Thicket,GYM_HAR,3.4787089311044417,0.1666828194883525,7.776029869754384,3.0924020665316005,3.865015795677283
Forest,KRA_FLO,13.317846838161547,0.36077947070727634,161.2378005159851,12.60538457702751,14.030309099295584
Savanna,KRA_FLO,10.452535427858944,0.22481738256997374,25.48787369234358,9.989964343685562,10.915106512032326
Thicket,KRA_FLO,11.984464663941104,0.258940338354708,45.08206867557208,11.462958254054719,12.505971073827489
Forest,SCU_MYR,4.100144809777622,0.2043540452254429,17.554623642295567,3.6700307879996403,4.530258831555604
Savanna,SCU_MYR,4.578490653374003,0.21033878654242122,19.62918339137733,4.139199664494999,5.0177816422530075
Thicket,SCU_MYR,4.087762819825494,0.22789806072878513,27.13623089910247,3.6202644420814285,4.55526119756956
Forest,SID_INE,12.596139861984378,0.5590861892037099,832.339746684342,11.498755321841587,13.693524402127169
Savanna,SID_INE,14.129500946677425,0.29605135289312323,75.10154943152348,13.539749479586806,14.719252413768043
Thicket,SID_INE,11.648440570701643,0.2870043770745457,67.69625480818839,11.075685720443772,12.221195420959514
Forest,SPI_AFR,4.967852095072571,0.4566040815587895,396.4068258373936,4.070183801949866,5.865520388195276
Savanna,SPI_AFR,3.1745231142659844,0.3603777496723158,166.1810881238835,2.463014199479323,3.8860320290526458
Thicket,SPI_AFR,5.737316082416588,0.20858366351791546,19.06394355874737,5.300844546031499,6.173787618801677
