species,site,leaf_age,leaf_area,side,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean
ACA_ROB,F7,old,0.04,up,Forest,1,0,0
ACA_ROB,F7,old,0.045,up,Forest,1,0,0
ACA_ROB,F7,old,0.049,up,Forest,1,0,0
ACA_ROB,F7,old,0.054,up,Forest,2,0,0
ACA_ROB,F7,old,0.057,up,Forest,1,3.50877193,3.50877193
ACA_ROB,F7,old,0.057,up,Forest,2,0,0
ACA_ROB,F7,old,0.059,up,Forest,2,0,0
ACA_ROB,F7,old,0.061,up,Forest,1,0,0
ACA_ROB,F7,old,0.061,up,Forest,2,0,0
ACA_ROB,F7,old,0.062,up,Forest,1,0,0
ACA_ROB,F7,old,0.064,up,Forest,1,0,0
ACA_ROB,F7,old,0.064,up,Forest,2,0,0
ACA_ROB,F7,old,0.066,up,Forest,2,0,0
ACA_ROB,F7,old,0.067,up,Forest,2,0,0
ACA_ROB,F7,old,0.069,up,Forest,2,0,0
ACA_ROB,F7,old,0.07,up,Forest,2,2.857142857,2.857142857
ACA_ROB,F7,old,0.071,up,Forest,2,0,0
ACA_ROB,F7,old,0.075,up,Forest,2,2.666666667,2.666666667
ACA_ROB,F7,old,0.077,up,Forest,2,1.298701299,1.298701299
ACA_ROB,F7,old,0.079,up,Forest,1,0,0
ACA_ROB,F7,old,0.08,up,Forest,2,0,0
ACA_ROB,F7,old,0.084,up,Forest,2,0,0
ACA_ROB,F7,old,0.088,up,Forest,1,0,0
ACA_ROB,F7,old,0.088,up,Forest,2,0,0
ACA_ROB,F7,old,0.09,up,Forest,1,1.111111111,1.111111111
ACA_ROB,F7,old,0.09,up,Forest,2,0,0
ACA_ROB,F7,old,0.097,up,Forest,1,0,0
ACA_ROB,F7,old,0.1,up,Forest,2,2,2
ACA_ROB,F7,old,0.101,up,Forest,1,0,0
ACA_ROB,F7,old,0.102,up,Forest,1,0,0
ACA_ROB,F7,old,0.106,up,Forest,1,0,0
ACA_ROB,F7,old,0.11,up,Forest,1,0,0
ACA_ROB,F7,old,0.112,up,Forest,1,0,0
ACA_ROB,F7,old,0.124,up,Forest,1,0,0
ACA_ROB,S13,old,0.054,up,Savanna,2,0,0
ACA_ROB,S13,old,0.056,up,Savanna,2,0,0
ACA_ROB,S13,old,0.057,up,Savanna,2,0,0
ACA_ROB,S13,old,0.058,up,Savanna,2,0,0
ACA_ROB,S13,old,0.059,up,Savanna,2,0,0
ACA_ROB,S13,old,0.06,up,Savanna,2,0,0
