contrast,estimate,SE,df,t.ratio,p.value
chewing forest - mining forest,201.8475154,21.42547594,71,9.420911625,0
chewing forest - chewing savanna,287.4896377,17.14038075,71,16.77265178,0
chewing forest - mining savanna,295.8682717,17.14038075,71,17.26147604,0
chewing forest - chewing thicket,204.3012104,21.42547594,71,9.535433934,0
chewing forest - mining thicket,266.0416599,21.42547594,71,12.41707118,0
mining forest - mining savanna,94.02075636,17.14038075,71,5.485336511,8.73E-06
mining savanna - chewing thicket,-91.56706139,17.14038075,71,-5.342183625,1.53E-05
mining forest - chewing savanna,85.64212232,17.14038075,71,4.996512245,5.79E-05
chewing savanna - chewing thicket,-83.18842735,17.14038075,71,-4.853359359,9.93E-05
mining forest - mining thicket,64.19414456,21.42547594,71,2.996159559,0.041994804
chewing thicket - mining thicket,61.74044959,21.42547594,71,2.88163725,0.056407066
mining savanna - mining thicket,-29.82661181,17.14038075,71,-1.740137062,0.510485903
chewing savanna - mining thicket,-21.44797776,17.14038075,71,-1.251312796,0.809882055
chewing savanna - mining savanna,8.378634044,11.33729621,71,0.739032825,0.97631529
mining forest - chewing thicket,2.453694973,21.42547594,71,0.114522309,0.999997117
